	Organization		Sponsorship Category		Years		Final Allocation									
	Chinese A Cappella at Berkeley		SAG		5		$500									
	Chinese Finance Club		SAG		2		$400									
	Chinese Student Association		SAG		29		"$6,000"									
	Circle K International		SAG		24		"$4,500"									
	Civil and Environmental Engineering Joint Fundraising Committee		SAG		2		Sponsorship only									
	CMG Strategy Consulting (Formerly Creative Marketing Group)		SAG		2		$500									
	Coalition to Defend Affirmative Action By Any Means Necessary		SAG		20		"$3,500"									
	Codeology		SAG		2		$400									
	Cognitive Science Students Association		SAG		7		$500									
	Committee for Korea Studies		SAG		14		"$1,000"									
	Computer Science Undergraduate Association		SAG		45		"$2,300"									
	Concrete Canoe		SAG		2		Sponsorship only									
	Consult Your Community (CYC) at Berkeley		SAG		6		$900									
	Creative Applications to Life in Origami		SAG		7		$400									
	CS Kickstart		SAG		6		Sponsorship only									
	Curling Club at Berkeley		SAG		6		$600									
	Dance Board of Berkeley Dance Community		SAG		2		Sponsorship only									
	Danceworx		SAG		22		"$3,400"									
	Data Science Society at Berkeley		SAG		2		$400									
	Datong Society of China Studies at Berkeley		SAG		2		$300									
	Debate Society of Berkeley		SAG		7		$600									
	DeCadence		SAG		18		$737									
	Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity		SAG		15		$500									
	Delta Sigma Pi		SAG		12		$260									
	Delta Xi Phi Multicultural Sorority Inc.		SAG		2		$500									
	Democratic Education at Cal		SAG		37		"$4,500"									
	Dil Se		SAG		3		$600									
	Disney Club at Berkeley		SAG		2		$400									
	DiversaTech		SAG		2		$400									
	Drawn to Scale		SAG		8		$500									
	Dutch Student Association at Berkeley		SAG		2		$300									
	East Asian Union		SAG		9		"$1,900"									
	Eggster Organization		SAG		18		"$1,100"									
	EGO (Cal's Traditional Korean Percussion Group)		SAG		8		"$1,100"									
	Enactus of Berkeley (formerly SIFE)		SAG		3		$500									
	Engineering Student Council		SAG		27		"$77,000"									
	English Undergraduate Association		SAG		26		$350									
	Entomology Club		SAG		2		$300									
	Entrepreneurs @ Berkeley		SAG		2		$400									
	EXP Dance		SAG		2		$400									
	eXperimental Computing Facility		SAG		2		$400									
	Faces of African Muslims Students		SAG		2		$400									
	Fashion and Student Trends		SAG		7		$500									
	Fei Tian Dancers		SAG		15		$400									
	Fellowship in Christ Berkeley		SAG		13		$500									
	FEM Tech @ Berkeley (Female Empowerment and Mentoring in Tech)		SAG		2		$400									
	FemSex		SAG		2		$400									
	Ferments at Berkeley (formerly known as Californium Brewing and Winemaking)		SAG		5		$480									
	Fiat Lux Scholars Association		SAG		2		$300									
	Fitness at Berkeley		SAG		2		$400									
	"Food, Equity, Entrepreneurship, & Development"		SAG		3		$400									
	Foresight Pre-Optometry Club		SAG		27		"$1,175"									
	Free Ventures		SAG		2		$400									
	Freshman and Sophomore Business Club		SAG		2		$400									
	Friends of the Coops		SAG		86		"$10,000"									
	"Future Business Leaders of America-Phi Beta Lambda, Inc."		SAG		13		"$2,000"									
	Gaming at Berkeley		SAG		7		$800									
	Gamma Rho Lambda		SAG		2		$400									
	Gates Millennium Scholars Association		SAG		12		$950									
	Geological Association at Berkeley		SAG		3		$250									
	Golden Bear Competitive Bhangra		SAG		5		"$1,000"									
	Golden Women		SAG		2		$400									
	Graduate School of Education Research Day Organizational Committee		SAG		2		$400									
	Haas Undergraduate Black Business Association		SAG		11		$500									
	"Hispanic Scholarship Fund - University of California, Berkeley Chapter"		SAG		2		$400									
	Hong Kong Student Association		SAG		26		"$2,500"									
	Horn of Africa Student Association		SAG		5		$163									
	Identity X		SAG		2		$400									
	Imagine Design Engineer		SAG		2		$400									
	Indian Students Association (ISA)		SAG		15		"$6,000"									
	InnoWorks of Berkeley		SAG		5		$700									
	International Relations Council of Berkeley		SAG		2		$400									
	International Socialist Organization		SAG		3		$500									
	International Students Association At Berkeley		SAG		18		"$1,700"									
	InterVarsity Christian Fellowship		SAG		20		"$4,000"									
	Iranian Students Cultural Organization (ISCO)		SAG		21		"$2,000"									
	Irish Dancers of Berkeley		SAG		5		$500									
	Ismailis at Berkeley		SAG		2		$400									
	Italian Society at Berkeley		SAG		18		"$1,200"									
	Jain Students Association		SAG		2		$500									
	Jericho!		SAG		2		"$1,000"									
	Jugger at Berkeley formerly known as Juggers of the Seven Regents		SAG		2		$500									
	Kappa Alpha Delta		SAG		16		$220									
	Kappa Alpha Pi Pre-Law Fraternity		SAG		5		"$1,000"									
	Kendo Club		SAG		3		$500									
	Klesis		SAG		8		$733									
	Koinonia Campus Fellowship		SAG		14		$750									
	Kojobs at Berkeley		SAG		2		$400									
	Korean American Scientists and Engineers Association		SAG		3		$400									
	Korean American Student Association		SAG		37		"$17,000"									
	Korean Performance Group		SAG		3		$400									
	Korean Pre-Health Association		SAG		3		$400									
	Korean Undergraduate Networking Association		SAG		11		$500									
	Ladies for Change		SAG		2		$400									
	Latin American Leadership Society		SAG		4		$500									
	Latinx Emerging in English		SAG		2		$400									
	Latinx Pre-Law Society		SAG		4		$500									
	Latinx Pre-Law Society (formerly known as the Latino Pre-Law Society)		SAG		5		$500									
	Launchpad		SAG		2		$400									
	Le Cercle FranÌ¤ais of Berkeley		SAG		11		$400									
	Legends of Berkeley		SAG		2		$400									
	Liberty in North Korea Berkeley Chapter		SAG		14		$900									
	Lindy on Sproul		SAG		8		"$1,200"									
	"Magic Club, The"		SAG		3		$400									
	Main Stacks Dance Team		SAG		10		"$1,000"									
	Malaysian Student Association at Berkeley		SAG		2		$400									
	Material Science and Engineering Association		SAG		5		Sponsorship only									
	Mathematics Undergraduate Students Association		SAG		2		$400									
	Mexican Association of Students at Berkeley		SAG		4		$500									
	Microbial Sciences Association		SAG		2		$400									
	Microfinance at Berkeley		SAG		6		$600									
	Mind Body Nutrition Students for Integrative and Preventative Medicine		SAG		2		$500									
	Molecular and Cell Biology Cell Developmental Neurobiological Association		SAG		5		$400									
	Molecular Cell Biology Undergraduate Student Association		SAG		5		$500									
	"Movement, The"		SAG		18		"$3,500"									
	Muslim Student Association		SAG		32		"$12,400"									
	NAMI on Campus at Berkeley		SAG		3		$500									
	Natya at Berkeley		SAG		5		$500									
	Nazakat at Berkeley		SAG		2		$400									
	Net Impact at Berkeley		SAG		17		Sponsorship only									
	Nigerian Students Association		SAG		4		$400									
	Nikkei Choral Ensemble		SAG		2		$400									
	Nikkei Student Union		SAG		16		"$1,500"									
	Organization of African Students		SAG		4		$400									
	Out for Business at Berkeley		SAG		2		$400									
	"Out in Science, Technology, Engineering, and Mathematics"		SAG		8		Sponsorship only									
	Outlet		SAG		5		$450									
	Pakistani Student Association		SAG		16		"$1,500"									
	Parliamentary Debate at Berkeley		SAG		9		"$2,100"									
	Pars Network at Berkeley		SAG		2		$400									
	Partnership for Pre-Professional Pilipinxs		SAG		18		$500									
	"Peers Espousing Amiability, Cooperation, and Education"		SAG		4		$400									
	"Phi Alpha Delta Law Fraternity, International"		SAG		10		$700									
	Phi Alpha Theta		SAG		14		$250									
	Phi Delta Epsilon		SAG		11		$500									
	Pi Sigma Epsilon		SAG		4		"$2,000"									
	Pi Tau Sigma		SAG		4		$500									
	Pilipino American Alliance		SAG		28		"$8,500"									
	Pilipino Association for Health Careers		SAG		26		"$3,000"									
	"Pilipino Association of Scientists, Architects, and Engineers"		SAG		30		"$1,300"									
	Pilipino Basketball Association		SAG		3		$50									
	Pointe of Berkeley		SAG		2		$400									
	Pokemon Club at Berkeley		SAG		6		$500									
	Pre-Medical Honor Society		SAG		2		$350									
	Pre-Nursing Society		SAG		6		$450									
	"Pre-Pharmacy Informational, Learning, & Leadership Society"		SAG		18		"$1,700"									
	PreDental Society		SAG		35		$850									
	Progressive Student Association		SAG		4		$500									
	"Project Pengyou, Berkeley Chapter"		SAG		4		$350									
	Queer + Allied Pre-Health/Pre-medical Association		SAG		2		$400									
	Queer Student Union		SAG		11		$400									
	Quidditch League at Berkeley		SAG		10		$400									
	Ra-On		SAG		8		$533									
	Raas Ramzat		SAG		2		$400									
	Re-Entry and Transfer Student Association		SAG		21		"$1,300"									
	Regents' and Chancellor's Scholars Association		SAG		4		$500									
	Rising Immigrants Scholars through Education		SAG		10		"$5,000"									
	Rubik's Cube Club at Berkeley		SAG		7		$300									
	Russian Student Association		SAG		13		$75									
	Salsa at Cal		SAG		7		$700									
	School Psychology Student Association		SAG		2		$400									
	SCUBA at Berkeley		SAG		2		$400									
	Sigma Alpha Nu		SAG		8		$500									
	Sigma Eta Pi		SAG		2		$400									
	Sigma Iota Rho: International & Area Studies Honor Society		SAG		5		$206									
	Sigma Mu Delta		SAG		2		$400									
	Sikh Student Association		SAG		14		"$1,000"									
	Smart Woman Securities at UCBerkeley		SAG		2		"$2,000"									
	Social Welfare Association for the Greater Good		SAG		2		$400									
	Society of Asian Scientists and Engineers		SAG		7		Sponsorship only									
	Songwriting at Berkeley		SAG		2		$100									
	South Indian Society		SAG		3		$400									
	Speech at Berkeley		SAG		6		$150									
	SPIRE		SAG		4		$150									
	Spring Foundation		SAG		6		$700									
	Statistics Undergraduate Students Association (formerly Undergraduate Statistics Association at Berkeley)		SAG		4		$500									
	Steel Bridge Competition Team		SAG		4		Sponsorship only									
	Stock Trading at Berkeley		SAG		2		$400									
	Strait Talk Berkeley		SAG		11		"$1,200"									
	Student Nutrition Advocacy Club		SAG		2		$300									
	Student Organic Gardening Association		SAG		3		$500									
	Student Premed Advising Network		SAG		3		$400									
	Students for Justice in Palestine		SAG		12		$950									
	Students for Life at Berkeley		SAG		20		"$2,500"									
	Students for Social Change		SAG		2		$400									
	Students' Experimental Theatre		SAG		2		$400									
	T.I.n.Y Chinese Theatre Group		SAG		3		$500									
	Taiwanese American Student Association		SAG		22		"$2,200"									
	Taiwanese Student Association		SAG		22		"$2,000"									
	TBD Comedy		SAG		5		$500									
	Team Velociraptors		SAG		2		Sponsorship only									
	Tennis at Cal		SAG		2		Sponsorship only									
	The Berkeley Forum		SAG		7		"$5,000"									
	The Berkeley Think Tank		SAG		2		$300									
	The Californians		SAG		16		"$2,300"									
	The Intermission Orchestra		SAG		2		$400									
	The Student Immigration Relief Clinic at Berkeley		SAG		2		$400									
	Thrive Dance Company		SAG		6		$500									
	Tokiha		SAG		2		$400									
	Transportation Team at Berkeley		SAG		2		Sponsorship only									
	TrueLement		SAG		2		Sponsorship only									
	UC Berkeley Chi Epsilon		SAG		2		Sponsorship only									
	UC Berkeley Indus		SAG		30		"$13,000"									
	UC Berkeley Model United Nations		SAG		26		"$9,200"									
	UC Jazz Ensembles		SAG		31		"$2,500"									
	UC Rally Committee		SAG		118		"$36,500"									
	ULAB: Undergraduate Laboratory at Berkeley		SAG		2		$400									
	Undergraduate Communications Association		SAG		4		$500									
	Undergraduate Economics Association		SAG		18		$300									
	Undergraduate Finance Association|Undergraduate Management Consulting Group		SAG		11		$300									
	"Undergraduate Healthcare Alliance: Uniting Students at the Intersection of Medicine, Biotechnology, and Business"		SAG		2		$400									
	Undergraduate Legal Honors Society		SAG		2		$400									
	Undergraduate Real Estate Club		SAG		4		"$1,000"									
	Undergraduate Women in Economics at Berkeley		SAG		2		$400									
	Upsync		SAG		3		$500									
	Valley Consulting Group		SAG		3		Sponsorship only									
	VISION		SAG		7		$500									
	Voyager Consulting		SAG		5		$500									
	West Coast Swing at Berkeley		SAG		2		$300									
	Women in Mathematics at Berkeley		SAG		5		$500
	100 STRONG		SISG		5		$700									
	Academic Cultural Enrichment Coaches		SISG		3		$500									
	"Alpha Phi Alpha Fraternity, Inc."		SISG		16		$224									
	Alternative Breaks		SISG		16		"$2,000"									
	American Red Cross at Cal		SISG		14		"$6,000"									
	ANova		SISG		2		Sponsorship only									
	Anti-Trafficking Coalition at Berkeley		SISG		10		"$1,400"									
	ASUC Renters' Legal Assistance		SISG		36		$200									
	ASUC Student Legal Clinic		SISG		35		$500									
	Bay Area Environmentally Aware Consulting Network		SISG		10		$400									
	Be The Match On Campus at Berkeley		SISG		2		$500									
	Bears for Elder Welfare		SISG		7		$325									
	Bears for Palestine		SISG		4		$600									
	Berkeley Cambodian Student Association		SISG		4		$600									
	Berkeley Disaster Team [Formerly Berkeley Disaster Response Team]		SISG		3		$500									
	Berkeley Engineers and Mentors		SISG		3		$600									
	Berkeley Medical Reserve Corps		SISG		5		$700									
	Best Buddies at Berkeley		SISG		12		$530									
	Bhagat Puran Singh Health Initiative at Berkeley		SISG		4		$600									
	Blood Pressure Project		SISG		5		$450									
	bridges Multicultural Resource Center		SISG		22		"$9,000 + Funded through STARR Referendum"									
	Cal Berkeley Habitat for Humanity		SISG		19		"$2,500"									
	Cal Community Music		SISG		33		$400									
	Cal Rotaract		SISG		15		"$2,000"									
	Cal Veterans Group		SISG		10		"$2,467"									
	California Health Professional Student Alliance		SISG		2		$500									
	California Public Interest Research Group		SISG		13		$700									
	Camp Kesem Berkeley		SISG		9		$600									
	Central Americans for Empowerment		SISG		2		$500									
	Chicano(a)s/Latino(a)s in Health Education		SISG		28		"$3,000"									
	Children of the Andes		SISG		2		$400									
	Code for the City of Berkeley		SISG		2		$400									
	Colleges Against Cancer		SISG		15		$500									
	Computer Science Mentors		SISG		3		Sponsorship only									
	Confi at Cal		SISG		3		$400									
	Creative Residencies for Emerging Artists Teaching Empowerment		SISG		6		$600									
	Dance the Bay		SISG		5		$550									
	Data Science for India at Berkeley		SISG		2		$500									
	"Delta Sigma Theta Sorority, Incorporated - Kappa Chapter"		SISG		17		"$2,500"									
	Education Initiative for Development		SISG		2		$400									
	Engineers Without Borders at Berkeley		SISG		7		Sponsorship only									
	Epsilon Eta		SISG		2		$500									
	EthiCAL Apparel		SISG		9		Sponsorship only									
	Expanding Your Horizons at Berkeley		SISG		6		"$1,000"									
	"Gamma Zeta Alpha Fraternity, Inc."		SISG		10		"$1,000"									
	GiANT Filmmakers		SISG		10		$350									
	Global Medical Missions Alliance at Berkeley		SISG		2		$400									
	"Global Social Innovation Initiative at Berkeley, The"		SISG		3		$500									
	GlobeMed at Berkeley		SISG		2		$300									
	Grant a Wish at Berkeley		SISG		6		$500									
	Hands and Feet		SISG		3		$400									
	Health and Medical Apprenticeship Program		SISG		35		"$13,500"									
	Hep B Project		SISG		2		$500									
	Hippies For Hope		SISG		3		$300									
	Hmong Student Association at Berkeley		SISG		11		"$1,700"									
	Indigenous and Native Coalition Recruitment and Retention Center		SISG		26		"$8,100 + Funded through STARR Referendum"									
	InnoWorks of Berkeley		SISG		5		$600									
	Jakara Movement Club		SISG		2		$400									
	Jeeva Clinic		SISG		2		$400									
	Kidney Disease Screening and Awareness Program		SISG		2		$500									
	Kids In Nutrition		SISG		2		$500									
	Labor Coach Program		SISG		8		$800									
	"Lambda Theta Nu Sorority, Inc."		SISG		8		$450									
	"Lambda Theta Phi, Latin Fraternity, Inc."		SISG		12		"$2,100"									
	Laotian American Student Representation		SISG		20		"$2,000"									
	Let's Rise- Asian Mentorship Program		SISG		13		"$1,300"									
	March of Dimes Collegiate Council		SISG		2		$500									
	MEDLIFE		SISG		8		$550									
	Middle Eastern North African Recruitment and Retention Center		SISG		5		$900 + Funded through STARR Referendum									
	Mixed Student Union		SISG		21		$450 + Funded through STARR Referendum									
	MOVE: API Organizing Fellowship		SISG		2		$500									
	Multi-Cultural Greek Council		SISG		4		$600									
	National Council of Negro Women		SISG		12		"$2,000"									
	National Pan-Hellenic Council		SISG		5		$500									
	Oakland Asian Student Educational Services		SISG		16		"$1,650"									
	Organizing for Health Advancement		SISG		2		$400									
	Patient Advocacy Student Group		SISG		6		"$1,250"									
	Paws and Claws of Berkeley		SISG		7		$400									
	People's Test Preparation Service		SISG		22		"$3,500"									
	Pilipinx Academic Student Services		SISG		34		"$30,240 + Funded through STARR Referendum"									
	Pre-Health Student Council		SISG		5		$500									
	Project Peanut Butter		SISG		4		$500									
	"Project RISHI, The Berkeley Chapter"		SISG		11		"$1,164"									
	Project SCIFI		SISG		2		$600									
	Project Spreading Multiculturalism and Inspiring Leadership through Education		SISG		10		"$3,000"									
	Project Vision		SISG		12		$500									
	Queer Alliance & Resource Center		SISG		50		"$25,000"									
	RaÌ_ces Recruitment and Retention Center (formerly Raza Recruitment and Retention Center)		SISG		41		"$36,000 + Funded through STARR Referendum"									
	REACH! Asian Pacific American Recruitment and Retention Center		SISG		22		" $18,000 + Funded through STARR Referendum"									
	React! at Berkeley 		SISG		3		$400									
	Renters' Legal Assistance		SISG		36		$400									
	"Sigma Gamma Rho Sorority, Inc"		SISG		4		$400									
	"Sigma Pi Alpha Sorority, Inc."		SISG		9		$700									
	Southeast Asian Mentorship		SISG		12		$800									
	Southeast Asian Prison Outreach Project		SISG		8		$700									
	Southeast Asian Student Coalition		SISG		12		"$8,300"									
	Spectrum: Autism at Cal (Formerly known as Autism Speaks U at Berkeley)		SISG		8		$600									
	Student-to-Student Peer Counseling		SISG		26		"$1,200"									
	Suitcase Clinic		SISG		20		"$11,500"									
	"Support, ENcourage and Develop for Children of Berkeley"		SISG		2		$500									
	Teach in Prison		SISG		9		"$3,000"									
	Team HBV		SISG		12		$650									
	The Berkeley Group		SISG		16		"$1,900"									
	The Berkeley Project		SISG		12		$500									
	The Music Connection		SISG		2		Sponsorship only									
	The Sage Mentorship Project		SISG		6		$300									
	Thrive Aspire Lead (formerly known as True Asian Leaders)		SISG		2		$400									
	TRENZA		SISG		23		"$1,600"									
	Tzu Chi Compassion Relief Foundation		SISG		10		$300									
	UC Berkeley Public Service Center		SISG		50		"$53,000"									
	Underground Scholars Initiative		SISG		2		$500									
	UNICEF at Berkeley		SISG		16		$600									
	Universal Love and Peace		SISG		7		$500									
	Universities Allied for Essential Medicines		SISG		4		$500									
	VIDA Medical Volunteer		SISG		2		$400									
	Vietnamese Student Association		SISG		27		"$5,700"									
	Volunteer Health Interpreters Organization		SISG		13		"$2,100"									
	Volunteer Income Tax Association Program		SISG		5		$600									
	Wonderworks		SISG		8		$600									
	You Mean More		SISG		7		"$1,500"									
	Youth Empowerment Program		SISG		5		"$1,500"									
	Youth Support Program		SISG		23		$800
	STUDENT ORGANIZATION CONTINGENCY FUND		FUND				"$91,000"
	Academic Opportunity Fund		GRNT				"$20,000"								
	Arts and Creativity Grant		GRNT				"$5,000"									
	Student Travel Grant		GRNT				"$2,000"									
	Educational Equity and Excellence Grant		GRNT				"$4,000"									
	Intellectual Community Grant		GRNT				"$4,500"									
	Multicultural Grant		GRNT				"$4,000"									
	Public Service Grant		GRNT				"$4,500"									
	Outstanding Student Recognition Scholarship		SCLR				"$1,000"									
	RISE Scholarship		SCLR				"$5,000"									
	Textbook Scholarship		SCLR				"$5,000"									
	Greek Opportunity Fund		GRNT				"$2,000"
	Chief-of-Staff Stipend		OP				"$2,000"
	President Discretionary Fund		OP				"$5,000"									
	President Stipend		OP				"$4,000"
	Chief-of-Staff Stipend		EVP				"$2,000"									
	EVP Discretionary Fund		EVP				"$5,000"									
	EVP Stipend		EVP				"$4,000"
	Chief-of-Staff Stipend		EAVP				"$2,000"
	EAVP Discretionary Fund		EAVP				"$15,000"									
	EAVP Stipend		EAVP				"$4,000"									
	Legislative Conference		EAVP				"$12,000"									
	Lobby Corps		EAVP				"$20,000"									
	UC Student Association Dues		EAVP				"$40,000"
	AAVP Discretionary Fund		AAVP				"$3,500"
	AAVP Stipend		AAVP				"$4,000"									
	Chief-of-Staff Stipend		AAVP				"$2,000"
	Chiefs-of-Staff Stipend		SAO				"$3,000"
	SAO Discretionary Fund		SAO				"$2,500"									
	SAO Stipend		SAO				"$4,000"
	Senate Leadership Institute / Senate Meetings		SEN				"$5,000"
	Senators' Discretionary Funds ($500.00 each)		SEN				"$10,000"									
	Senators' Stipend ($500.00 each)		SEN				"$10,000"									
	ASUC Conference		SEN				"$5,500"
	Chief Financial Officer Stipend		AOFR				"$2,000"
	Chief Accountability Officer Stipend		AOFR				"$2,000"									
	Chief Communication Officer Stipend		AOFR				"$2,000"									
	Chief Legal Officer Stipend		AOFR				"$2,000"									
	Chief Technology Officer Stipend		AOFR				"$2,000"									
	Judicial Council Office		AOFR				$500									
	Finance and Budgeting Office (Discretionary) 		AOFR				"$6,000"									
	Marketing and Communications Office (Discretionary)		AOFR				"$6,000"									
	Public Defender Stipend		AOFR				$150									
	Chief Appointed Officials Support Staff Stipend 		AOFR				"$2,500"									
	Chair of the Student Union Board of Directors Stipend		AOFR				$500									
	2 Undergraduate Representative - Student Union Board of Directors Stipend ($200 each)		AOFR				$400
	Archives		OPRS				$0
	ASUC Administrative Office		OPRS				"$67,000"									
	Legal Fee		OPRS				"$32,000"									
	Audit		OPRS				"$22,000"									
	Bank Fee		OPRS				"$1,000"									
	Big Ideas		OPRS				"$13,000"									
	Capital Improvement Fund Allocation		OPRS				$0									
	ASUC End of Year Banquet		OPRS				"$3,000"
	Elections Council - 1 Tech Coordinator Stipend		ELCT				$250
	Elections Council - 2 Auditors Stipend ($150.00 each)		ELCT				$300									
	Elections Council - Assistant Chair Stipend		ELCT				$300									
	Elections Council - Chair Stipend		ELCT				"$1,000"									
	Elections Council - Chief Auditor Stipend		ELCT				$350									
	Elections Council - Prosecutor Stipend		ELCT				$300									
	Elections Operations		ELCT				"$6,200"
	Cal Lodge Insurance 		GEN				$0
	D&O Insurance		GEN				"$4,000"									
	GL Insurance		GEN				"$19,000"									
	BerkeleyTime Acquisition		GEN				"$70,000"
