,Year,Organization,Type,Designation,Standing,Allocation
52,2012,"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,Political & Advocacy RSO,14,2856.0
53,2012,Berkeley Chinese Students and Scholars Association,SAG,Cultural & Identity/International RSO,9,339.87
54,2012,Cal American Civil Liberties Union,SAG,Political & Advocacy RSO,12,147.0
55,2012,Berkeley Bahai Club,SAG,Spiritual RSO,15,300.0
56,2012,Berkeley Ballroom Dancers,SAG,Performing Arts RSO,9,892.5
57,2012,Berkeley Bhangra Club,SAG,Performing Arts RSO,5,210.0
58,2012,Berkeley College Republicans,SAG,Political & Advocacy RSO,17,3000.0
59,2012,Berkeley Consulting,SAG,Professional RSO,13,0.0
60,2012,Dil Se,SAG,Performing Arts RSO,4,617.4
61,2012,Berkeley Investment Group,SAG,Professional RSO,1,50.0
62,2012,Berkeley Legal Studies Association,SAG,Academic RSO,13,25.43
63,2012,National Organization for Women,SAG,Cultural & Identity/Women Interest RSO,11,1176.0
64,2012,Berkeley Organization for Animal Advocacy,SAG,Political & Advocacy RSO,14,900.0
65,2012,Students for Life at Berkeley,SAG,Political & Advocacy RSO,15,487.2
66,2012,Berkeley Undergraduate Sociology Association,SAG,Departmental RSO,5,105.0
67,2012,Berkeley Urban Studies Student Association,SAG,Academic RSO,1,50.0
68,2012,Berkeley Women in Business,SAG,Cultural & Identity/Women Interest RSO,10,39.0
69,2012,Mirai Collective,SAG,Arts RSO,3,262.5
70,2012,Black Student Union,SAG,Cultural & Identity/Cultural & Ethnic RSO,3,208.0
71,2012,Cal Actuarial League,SAG,Professional RSO,8,403.83
72,2012,Cal Animage Alpha,SAG,Media & Film RSO,2,200.0
73,2012,Cal Berkeley Democrats,SAG,Political & Advocacy RSO,15,4020.47
74,2012,Cal Dragon Boat,SAG,Recreational RSO,8,261.3
75,2012,Cal Hawai'i Club,SAG,Cultural & Identity/Cultural & Ethnic RSO,26,1801.8
76,2012,Cal Hiking and Outdoor Society,SAG,Recreational RSO,64,547.97
77,2012,UC Berkeley Men's Ice Hockey,SAG,Recreational RSO,1,50.0
78,2012,Cal in the Capital,SAG,Service RSO,35,1992.7
79,2012,Cal Japan Club,SAG,Cultural & Identity/Cultural & Ethnic RSO,5,369.0
80,2012,Cal Pre-Vet Club,SAG,Academic RSO,3,52.5
81,2012,Cal Taiko,SAG,Performing Arts RSO,8,754.3
82,2012,CalSlam,SAG,Performing Arts RSO,9,262.5
83,2012,Cal Undergraduate Public Health Coalition,SAG,Academic RSO,9,1419.6
84,2012,California Mock Trial,SAG,Academic RSO,13,3603.6
85,2012,CalSol,SAG,Professional RSO,15,950.0
86,2012,Civil and Environmental Engineering Joint Fundraising Committee,SAG,Academic RSO,5,0.0
87,2012,Chabad Jewish Student Group at Berkeley,SAG,Spiritual RSO,4,157.5
88,2012,Chi Epsilon - Civil Engineering Honor Society,SAG,Academic RSO,13,0.0
89,2012,Chinese People Union,SAG,Cultural & Identity/International RSO,9,975.81
90,2012,Chinese Student Association,SAG,Cultural & Identity/International RSO,23,2000.0
91,2012,Circle K International,SAG,Service RSO,18,2887.6
92,2012,Cognitive Science Students Association,SAG,Academic RSO,14,104.0
93,2012,College Ski and Snowboard Club,SAG,Recreational RSO,14,210.0
94,2012,Gaming at Berkeley,SAG,Recreational RSO,1,20.0
95,2012,Committee for Korea Studies,SAG,Cultural & Identity/International RSO,8,50.0
96,2012,Computer Science Undergraduate Association,SAG,Academic RSO,38,1575.0
97,2012,Creative Applications to Life in Origami,SAG,Arts RSO,3,105.0
98,2012,Crossroads Christian Fellowship: Chinese for Christ Berkeley Church,SAG,Recreational RSO,4,163.8
99,2012,Danceworx,SAG,Performing Arts RSO,16,1520.69
100,2012,DeCadence,SAG,Performing Arts RSO,13,655.2
101,2012,Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,SAG,Professional RSO,10,392.51
102,2012,Delta Sigma Pi,SAG,Professional RSO,7,1037.4
103,2012,Department of Integrative Biology Students,SAG,Departmental RSO,1,50.0
104,2012,Design for America,SAG,Professional RSO,1,50.0
105,2012,East Asian Languages & Cultures Undergraduate Student Association,SAG,Cultural & Identity/International RSO,3,150.0
106,2012,East Asian Union,SAG,Cultural & Identity/International RSO,3,0.0
107,2012,Education Undergraduates,SAG,Academic RSO,5,288.75
108,2012,Eggster Organization,SAG,Service RSO,12,1730.45
109,2012,EGO (Cal's Traditional Korean Percussion Group),SAG,Performing Arts RSO,2,210.0
110,2012,elecTONIC,SAG,Recreational RSO,5,436.8
111,2012,"Electrochemical Society, Student Chapter of Berkeley",SAG,Academic RSO,5,0.0
112,2012,Engineering Student Council,SAG,Departmental RSO,20,26565.0
113,2012,English Undergraduate Association,SAG,Academic RSO,8,299.57
114,2012,"Somali, Ethiopian, Eritrean, South Sudanese, Sudanese Association (SEE§A)",SAG,Cultural & Identity/International RSO,17,1680.0
115,2012,Fashion and Student Trends,SAG,Arts RSO,1,50.0
116,2012,Fei Tian Dancers,SAG,Performing Arts RSO,9,327.6
117,2012,Fellowship in Christ in Berkeley,SAG,Spiritual RSO,7,262.5
118,2012,Foresight Pre-Optometry Club,SAG,Academic RSO,21,840.0
119,2012,Freshman and Sophomore Business Club,SAG,Departmental RSO,11,193.09
120,2012,Friends of the Co-ops,SAG,Cultural & Identity/Cultural & Ethnic RSO,1,50.0
121,2012,Freshman Sophomore Entrepreneurial Society,SAG,Professional RSO,2,0.0
122,2012,"Future Business Leaders of America-Phi Beta Lambda, Inc.",SAG,Professional RSO,8,889.93
123,2012,Golden Bears Aikido Club,SAG,Recreational RSO,3,0.0
124,2012,Graduate Flight Club,SAG,Professional RSO,1,50.0
125,2012,Haas Undergraduate Black Business Association,SAG,Professional RSO,7,0.0
126,2012,Hackers@Berkeley,SAG,Technology RSO,1,0.0
127,2012,Hindu Students Council,SAG,Spiritual RSO,5,218.4
128,2012,Hong Kong Student Association,SAG,Cultural & Identity/International RSO,16,1310.95
129,2012,Human Powered Vehicle,SAG,Academic RSO,1,50.0
130,2012,IAS Student Representative Council,SAG,Academic RSO,3,150.0
131,2012,Italian Society at Berkeley,SAG,Cultural & Identity/International RSO,12,1102.28
132,2012,Indian Students Association,SAG,Cultural & Identity/International RSO,9,1037.4
133,2012,UC Berkeley Indus,SAG,Cultural & Identity/Cultural & Ethnic RSO,24,3850.0
134,2012,Berkeley Business Society,SAG,Professional RSO,7,273.0
135,2012,International Justice Mission,SAG,Service RSO,2,200.0
136,2012,International Students Association at Berkeley,SAG,Cultural & Identity/International RSO,12,367.5
137,2012,InterVarsity Christian Fellowship,SAG,Spiritual RSO,14,3835.83
138,2012,Iranian Students Cultural Organization,SAG,Cultural & Identity/Cultural & Ethnic RSO,16,689.64
139,2012,Institute of Transportation Engineers at Berkeley,SAG,Academic RSO,6,0.0
140,2012,J Street U at Berkeley,SAG,Political & Advocacy RSO,1,0.0
141,2012,Jericho!,SAG,Performing Arts RSO,8,625.0
142,2012,Jewish Business Association,SAG,Professional RSO,6,250.0
143,2012,Jewish Student Union,SAG,Spiritual RSO,34,13008.91
144,2012,Kairos Christian Fellowship,SAG,Spiritual RSO,7,327.6
145,2012,Kappa Gamma Delta,SAG,Professional RSO,10,1100.0
146,2012,Klesis,SAG,Spiritual RSO,1,50.0
147,2012,Koinonia Campus Fellowship,SAG,Spiritual RSO,8,682.5
148,2012,Korea Campus Crusade for Christ,SAG,Spiritual RSO,2,200.0
149,2012,Korean American Student Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,31,4551.44
150,2012,Korean Undergraduate Networking Association,SAG,Professional RSO,5,163.8
151,2012,Korean-American Scientists and Engineers Association (Silicon Valley Chapter),SAG,Academic RSO,1,50.0
152,2012,K-Popular at Berkeley,SAG,Cultural & Identity/Cultural & Ethnic RSO,2,200.0
153,2012,Labor Justice Project,SAG,Political & Advocacy RSO,1,50.0
154,2012,Latin American Studies Student Organization,SAG,Cultural & Identity/International RSO,1,50.0
155,2012,Latinx Pre-Law Society,SAG,Professional RSO,10,1200.0
156,2012,Undergraduate Legal Honors Society,SAG,Academic RSO,1,250.0
157,2012,Lindy On Sproul,SAG,Performing Arts RSO,2,200.0
158,2012,Liberty in North Korea at Berkeley,SAG,Political & Advocacy RSO,8,682.5
159,2012,Longboard Connection at Berkeley,SAG,Recreational RSO,2,200.0
160,2012,MTO Sufi Association,SAG,Spiritual RSO,3,210.0
161,2012,Main Stacks Dance Team,SAG,Performing Arts RSO,5,600.6
162,2012,MEND,SAG,Service RSO,1,50.0
163,2012,Mixed @ Berkeley Recruitment and Retention Center - MRRC,SAG,Sponsored RSO,16,877.49
164,2012,Monopoly Deal Club,SAG,Recreational RSO,1,50.0
165,2012,Muslim Student Association,SAG,Spiritual RSO,26,8708.7
166,2012,Nikkei Student Union,SAG,Cultural & Identity/International RSO,11,1604.6
167,2012,Olive Tree Initiative,SAG,Sponsored RSO,1,50.0
168,2012,Omicron Delta Epsilon,SAG,Professional RSO,6,160.0
169,2012,Pakistani Student Association,SAG,Cultural & Identity/International RSO,9,645.12
170,2012,Partnership for Pre-Professional Pilipinxs,SAG,Professional RSO,12,871.27
171,2012,"Phi Alpha Delta Law Fraternity, International",SAG,Professional RSO,5,300.0
172,2012,Phi Alpha Theta,SAG,Academic RSO,8,634.5
173,2012,Phi Chi Pre-Health Fraternity,SAG,Professional RSO,2,200.0
174,2012,Phi Gamma Nu,SAG,Professional RSO,12,628.99
175,2012,Phi Sigma Pi National Honor Fraternity,SAG,Professional RSO,11,605.05
176,2012,Pi Sigma Alpha - Iota Chapter,SAG,Academic RSO,1,50.0
177,2012,Pilipino American Alliance,SAG,Cultural & Identity/Cultural & Ethnic RSO,22,5315.02
178,2012,Pilipino Association for Health Careers,SAG,Professional RSO,20,2097.51
179,2012,"Pilipinx Association of Scientists, Architects, and Engineers",SAG,Professional RSO,24,0.0
180,2012,PreDental Society,SAG,Professional RSO,30,655.2
181,2012,Pre-Health Society,SAG,Professional RSO,6,734.13
182,2012,Pre-Nursing Society,SAG,Professional RSO,2,200.0
183,2012,"Pre-Pharmacy Informational, Learning and Leadership Society",SAG,Professional RSO,12,757.2
184,2012,Psi Chi,SAG,Academic RSO,7,364.0
185,2012,Queer Student Union,SAG,Cultural & Identity/LGBTQ+ RSO,5,378.0
186,2012,Quiz Bowl Club,SAG,Recreational RSO,17,456.96
187,2012,Ra-On,SAG,Performing Arts RSO,2,200.0
188,2012,React to Film,SAG,Media & Film RSO,1,50.0
189,2012,Rubik's Cube Club at Berkeley,SAG,Recreational RSO,1,50.0
190,2012,Russian Student Association,SAG,Cultural & Identity/International RSO,9,436.8
191,2012,Salsa at Cal,SAG,Recreational RSO,2,52.5
192,2012,Sigma Alpha Nu,SAG,Academic RSO,5,105.0
193,2012,Sigma Eta Pi,SAG,Professional RSO,1,50.0
194,2012,Sikh Students Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,6,700.0
195,2012,Singapore Student Association,SAG,Cultural & Identity/International RSO,6,382.2
196,2012,Society of Hong Kong and Chinese Affairs (SHKCA),SAG,Cultural & Identity/International RSO,20,683.55
197,2012,Strait Talk,SAG,Cultural & Identity/International RSO,5,600.6
198,2012,Student Commuters at Cal,SAG,Service RSO,5,420.0
199,2012,Student Food Collective,SAG,Environmental & Sustainability RSO,1,50.0
200,2012,"Students for Sensible Drug Policy, UC Berkeley Chapter",SAG,Political & Advocacy RSO,3,25.1
201,2012,Students for Hip Hop,SAG,Recreational RSO,12,2037.21
202,2012,Students for Integrative Medicine,SAG,Health & Wellness RSO,3,163.8
203,2012,Students for Justice in Palestine,SAG,Political & Advocacy RSO,7,472.5
204,2012,Students for Liberty,SAG,Political & Advocacy RSO,4,367.5
205,2012,Taiwanese American Student Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,16,1475.22
206,2012,Taiwanese Student Association,SAG,Cultural & Identity/International RSO,16,1365.0
207,2012,TAMID Group,SAG,Professional RSO,1,50.0
208,2012,Berkeley Tennis Association,SAG,Recreational RSO,7,0.0
209,2012,The Berkeley Group,SAG,Professional RSO,10,900.2
210,2012,The Californians,SAG,Sponsored RSO,11,2446.22
211,2012,Cooking Club,SAG,Professional RSO,5,436.8
212,2012,The Movement,SAG,Performing Arts RSO,13,3146.27
213,2012,The Music Connection,SAG,Service RSO,4,218.4
214,2012,Theatre Rice: Modern Asian-American Theater,SAG,Performing Arts RSO,14,2948.4
215,2012,Theta Tau,SAG,Professional RSO,2,200.0
216,2012,Third Space Christian Fellowship,SAG,Spiritual RSO,1,50.0
217,2012,Thrive Dance Company,SAG,Performing Arts RSO,1,50.0
218,2012,Toxicology Student Association of Berkeley,SAG,Departmental RSO,2,210.0
219,2012,TROO Artistic Ventures,SAG,Media & Film RSO,1,50.0
220,2012,Tzu Chi Compassion Relief Foundation,SAG,Service RSO,5,322.0
221,2012,UC Berkeley Model United Nations,SAG,Academic RSO,20,6615.0
222,2012,UC Jazz Ensembles,SAG,Performing Arts RSO,26,520.0
223,2012,Undergraduate Economics Association,SAG,Academic RSO,13,268.48
224,2012,Undergraduate Finance Association|Undergraduate Management Consulting Group,SAG,Professional RSO,5,336.49
225,2012,Undergraduate Marketing Association,SAG,Academic RSO,16,630.0
226,2012,Undergraduate Political Science Association,SAG,Academic RSO,10,393.12
227,2012,UC Rally Committee,SAG,Service RSO,111,35490.0
228,2012,Wrestling Club at Berkeley,SAG,Recreational RSO,6,300.0
229,2012,De Colores,SISG,Cultural & Identity/LGBTQ+ RSO,5,235.97
230,2012,Collegiate 100,SISG,Cultural & Identity/Cultural & Ethnic RSO,2,62.5
231,2012,Alternative Breaks,SISG,Service RSO,10,1178.02
232,2012,American Red Cross at Cal,SISG,Service RSO,8,2463.0
233,2012,Amnesty International,SISG,Service RSO,32,967.48
234,2012,Middle Eastern North African Recruitment and Retention Center,SISG,Sponsored RSO,2,105.0
235,2012,Renters' Legal Assistance,SISG,Service RSO,30,4563.3
236,2012,ASUC Student Legal Clinic,SISG,Service RSO,29,3525.8
237,2012,Bay Area Environmentally Aware Consulting Network,SISG,Environmental & Sustainability RSO,5,354.9
238,2012,Berkeley City College Service Community,SISG,Service RSO,1,100.0
239,2012,Bears for Elder Welfare,SISG,Service RSO,1,100.0
240,2012,UNICEF at Berkeley,SISG,Service RSO,10,786.87
241,2012,Berkeley Cambodian Students Association,SISG,Cultural & Identity/International RSO,14,577.5
242,2012,Engineers and Mentors of Berkeley,SISG,Academic RSO,4,200.0
243,2012,Best Buddies at Berkeley,SISG,Service RSO,6,416.47
244,2012,Black Recruitment and Retention Center,SISG,Sponsored RSO,30,42516.41
245,2012,Black Students in Health Association,SISG,Cultural & Identity/Cultural & Ethnic RSO,3,150.0
246,2012,bridges Multicultural Resource Center,SISG,Sponsored RSO,16,15670.2
247,2012,Cal Habitat for Humanity,SISG,Service RSO,12,1935.02
248,2012,Cal Camp,SISG,Service RSO,64,14726.63
249,2012,Cal Community Music,SISG,Performing Arts RSO,28,241.87
250,2012,Do Something,SISG,Service RSO,4,200.0
251,2012,Cal Health Coalition,SISG,Health & Wellness RSO,2,2663.93
252,2012,Cal in Local Government,SISG,Service RSO,4,1719.96
253,2012,Cal Queer & Asian,SISG,Cultural & Identity/LGBTQ+ RSO,4,757.91
254,2012,California Public Interest Research Group,SISG,Political & Advocacy RSO,8,488.0
255,2012,Cal Veterans Group,SISG,Cultural & Identity/Cultural & Ethnic RSO,4,1024.0
256,2012,Chicano(a)s/Latino(a)s in Health Education,SISG,Cultural & Identity/Cultural & Ethnic RSO,23,2193.83
257,2012,Colleges Against Cancer,SISG,Service RSO,3,164.0
258,2012,Drawn to Scale,SISG,Performing Arts RSO,2,105.0
259,2012,Engineers Without Borders at Berkeley,SISG,Service RSO,2,0.0
260,2012,Expanding Your Horizons at Berkeley,SISG,Service RSO,1,100.0
261,2012,Cal Facilitation Team,SISG,Service RSO,1,100.0
262,2012,FeelGood,SISG,Service RSO,5,644.99
263,2012,Gates Millennium Student Association,SISG,Service RSO,6,1317.0
264,2012,GiANT Filmmakers,SISG,Media & Film RSO,8,1432.41
265,2012,Global Health Brigades at Berkeley,SISG,Service RSO,3,344.54
266,2012,Health and Medical Apprenticeship Program,SISG,Health & Wellness RSO,28,12899.71
267,2012,Hermanas Unidas de UC Berkeley,SISG,Cultural & Identity/Cultural & Ethnic RSO,7,600.0
268,2012,Hermanos Unidos,SISG,Cultural & Identity/Cultural & Ethnic RSO,7,0.0
269,2012,Hispanic Engineers and Scientists,SISG,Academic RSO,5,0.0
270,2012,Hmong Student Association at Berkeley,SISG,Cultural & Identity/International RSO,5,1066.38
271,2012,"Hispanic Scholarship Fund - University of California, Berkeley Chapter",SISG,Academic RSO,5,200.0
272,2012,Inside the Living Room,SISG,Service RSO,3,287.82
273,2012,Iu-Mien Student Union,SISG,Cultural & Identity/International RSO,6,496.14
274,2012,Labor Coach Program,SISG,Service RSO,2,65.0
275,2012,Laotian American Student Representatives,SISG,Cultural & Identity/Cultural & Ethnic RSO,14,504.0
276,2012,Let's Rise - Asian Mentorship Program,SISG,Service RSO,10,1575.0
277,2012,Movimiento Estudiantil Chicano/xicana de Atzlan,SISG,Cultural & Identity/Cultural & Ethnic RSO,2,474.09
278,2012,National Council of Negro Women,SISG,Cultural & Identity/Women Interest RSO,6,1400.0
279,2012,Indigenous and Native Coalition (INC) Recruitment and Retention Center,SISG,Sponsored RSO,20,10873.3
280,2012,Oakland Asian Student Educational Services,SISG,Service RSO,10,803.13
281,2012,Pacific Islanders at Cal,SISG,Cultural & Identity/International RSO,5,997.5
282,2012,Paws and Claws of Berkeley,SISG,Service RSO,1,40.0
283,2012,People's Test Preparation Service,SISG,Service RSO,16,3332.42
284,2012,Phi Delta Epsilon,SISG,Professional RSO,5,210.0
285,2012,Pilipinx Academic Student Services,SISG,Sponsored RSO,28,23326.97
286,2012,"Project Rishi, The Berkeley Chapter",SISG,Service RSO,5,620.18
287,2012,Project Spreading Multiculturalism and Inspiring Leadership through Education,SISG,Service RSO,4,2310.0
288,2012,Project Vision,SISG,Service RSO,6,420.0
289,2012,Prytanean Women's Honor Society,SISG,Cultural & Identity/Women Interest RSO,1,100.0
290,2012,Puente at Berkeley,SISG,Service RSO,1,100.0
291,2012,Queer Alliance & Resource Center,SISG,Cultural & Identity/LGBTQ+ RSO,45,12983.55
292,2012,Raza Caucus,SISG,Cultural & Identity/Cultural & Ethnic RSO,1,50.0
293,2012,Raíces Recruitment and Retention Center,SISG,Sponsored RSO,35,42864.51
294,2012,REACH! Asian Pacific American Recruitment and Retention Center,SISG,Sponsored RSO,17,15646.27
295,2012,Re-entry and Transfer Student Association,SISG,Service RSO,15,1120.48
296,2012,Rising Immigrant Scholars through Education - RISE,SISG,Service RSO,5,157.5
297,2012,Cal Rotaract,SISG,Service RSO,8,1200.0
298,2012,Seed of Health,SISG,Service RSO,1,100.0
299,2012,Service Network at Berkeley,SISG,Service RSO,1,100.0
300,2012,Southeast Asian Mentorship,SISG,Service RSO,6,618.11
301,2012,Southeast Asian Prison Outreach Project,SISG,Political & Advocacy RSO,2,25.0
302,2012,Southeast Asian Student Coalition,SISG,Cultural & Identity/Cultural & Ethnic RSO,12,2835.0
303,2012,Spread the Word,SISG,Service RSO,1,100.0
304,2012,Spring Foundation,SISG,Service RSO,1,100.0
305,2012,Stop the Traffick,SISG,Political & Advocacy RSO,6,456.88
306,2012,Student Parent Association for Recruitment and Retention,SISG,Service RSO,14,1902.81
307,2012,Student to Student Peer Counseling,SISG,Service RSO,22,3700.0
308,2012,Supporting Peers in Laid-Back Listening,SISG,Health & Wellness RSO,3,50.0
309,2012,Take Back the Night,SAG,Political & Advocacy RSO,10,300.0
310,2012,Teach in Prison,SISG,Service RSO,4,500.0
311,2012,Team HBV,SISG,Health & Wellness RSO,6,739.69
312,2012,The Berkeley Project,SISG,Service RSO,6,1575.0
313,2012,The Magnolia Project,SISG,Service RSO,6,886.85
314,2012,Suitcase Clinic,SISG,Service RSO,14,2348.82
315,2012,Theater for Charity,SISG,Performing Arts RSO,8,709.2
316,2012,TRENZA,SISG,Cultural & Identity/Women Interest RSO,14,1601.0
317,2012,Universal Love and Peace,SISG,Service RSO,2,300.0
318,2012,Union Salvadorena de Estudiantes Universitarios,SISG,Cultural & Identity/International RSO,1,50.0
319,2012,V-Day at Berkeley,SISG,Political & Advocacy RSO,6,1214.84
320,2012,Vietnamese Student Association,SISG,Cultural & Identity/International RSO,21,2315.71
321,2012,Volunteer Health Interpreters Organization,SISG,Health & Wellness RSO,7,800.0
322,2012,Volunteers for Medical Outreach,SISG,Service RSO,5,688.8
323,2012,Wonderworks,SISG,Service RSO,2,105.0
324,2012,World Literacy Project,SISG,Service RSO,1,100.0
325,2012,Xinaxtli,SISG,Cultural & Identity/Cultural & Ethnic RSO,41,2757.31
326,2012,Youth Empowerment Program,SISG,Service RSO,1,100.0
327,2012,Youth Support Program,SISG,Service RSO,17,1207.81
328,2012,DULCE (Diabetes: Unidos Lograremos Controlar Esta Enfermedad),SISG,Health & Wellness RSO,5,475.0
329,2012,Disabled Students' Union,SISG,Cultural & Identity/Cultural & Ethnic RSO,8,1700.0
330,2013,Threads,PUB,Publications RSO,13,1784.0
331,2013,Alternative Breaks,PUB,Service RSO,11,909.0
332,2013,BARE Magazine,PUB,Publications RSO,7,1275.0
333,2013,Berkeley Fiction Review,PUB,Publications RSO,30,960.0
334,2013,Berkeley Poetry Review,PUB,Publications RSO,19,1530.0
335,2013,The Berkeley Political Review,PUB,Publications RSO,12,5035.0
336,2013,Berkeley Science Review,PUB,Publications RSO,13,0.0
337,2013,byte of Berkeley,PUB,Publications RSO,1,400.0
338,2013,Cal Literature & Arts Magazine,PUB,Publications RSO,16,1464.0
339,2013,Caliber Magazine,PUB,Publications RSO,4,1734.0
340,2013,California Patriot,PUB,Publications RSO,2,800.0
341,2013,Clio's Scroll,PUB,Publications RSO,14,1122.0
342,2013,The Folio: English Academic Journal,PUB,Publications RSO,2,800.0
343,2013,hardboiled,PUB,Publications RSO,17,4738.0
344,2013,The Heuristic Squelch,PUB,Publications RSO,17,8000.0
345,2013,maganda magazine,PUB,Publications RSO,24,1624.0
346,2013,Onyx Express,PUB,Publications RSO,18,3910.0
347,2013,Perspective Magazine,PUB,Publications RSO,17,2244.0
348,2013,Premed Perspective,PUB,Publications RSO,9,1000.0
349,2013,Public Health Advocate,PUB,Publications RSO,9,320.0
350,2013,Sather Health: Issues in Student Health,PUB,Publications RSO,3,723.0
351,2013,Science of Wellness,PUB,Publications RSO,2,800.0
352,2013,Sea Change: High School Arts Magazine Of Berkeley,PUB,Publications RSO,1,400.0
353,2013,The Smart Ass,PUB,Publications RSO,15,3452.0
354,2013,To An Unknown God,PUB,Publications RSO,5,2857.0
355,2013,"Troika: An Undergraduate Journal in Slavic, East European and Eurasian Studies",PUB,Publications RSO,2,800.0
356,2013,Comparative Literature Undergraduate Journal,PUB,Publications RSO,2,374.0
357,2013,Vagabond Multilingual Journal,PUB,Publications RSO,1,0.0
358,2013,3DMC,SAG,Media & Film RSO,1,150.0
359,2013,Abba Modern,SAG,Performing Arts RSO,2,300.0
360,2013,acts2fellowship,SAG,Spiritual RSO,12,2864.0
361,2013,Adoptee University,SAG,Service RSO,2,300.0
362,2013,AFX Dance,SAG,Performing Arts RSO,1,150.0
363,2013,Alpha Beta Consulting,SAG,Professional RSO,1,150.0
364,2013,"Alpha Epsilon Zeta Fraternity, Inc.",SAG,Professional RSO,9,819.0
365,2013,Alpha Kappa Psi,SAG,Academic RSO,3,450.0
366,2013,Alpha Phi Omega,SAG,Service RSO,28,1337.0
367,2013,Ambience,SAG,Recreational RSO,2,0.0
368,2013,American Institute of Architecture Students,SAG,Professional RSO,5,428.0
369,2013,American Marketing Association,SAG,Professional RSO,1,150.0
370,2013,American Medical Student Association--Berkeley Premedical Chapter,SAG,Professional RSO,15,643.0
371,2013,American Nuclear Society,SAG,Academic RSO,6,0.0
372,2013,American Parliamentary Debate Society of Berkeley,SAG,Academic RSO,2,300.0
373,2013,Anthropology Undergraduate Association,SAG,Departmental RSO,3,90.0
