,Organization,Type,Designation,Standing,Allocation
71,Berkeley Energy and Resources Collaborative (Graduate group),SAG,Environmental & Sustainability RSO,1,200.0
72,Berkeley Innovation,SAG,Arts RSO,3,0.0
73,Berkeley Investment Group,SAG,Professional RSO,1,0.0
74,Berkeley Legal Studies Association,SAG,Academic RSO,3,500.0
75,Berkeley Model United Nations Conference,SAG,Academic RSO,1,0.0
76,BERKOP,SAG,Publications RSO,6,1250.0
77,Berkeley Women in Business,SAG,Cultural & Identity/Women Interest RSO,16,900.0
78,Best Laid Plans,SAG,Performing Arts RSO,3,400.0
79,Beyond Academia,SAG,Academic RSO,3,300.0
80,Big Data at Berkeley,SAG,Academic RSO,1,290.0
81,Biofuels Technology Club,SAG,Environmental & Sustainability RSO,1,0.0
82,Bioprinting at Berkeley,SAG,Technology RSO,2,0.0
83,Black Engineering and Science Students Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,5,0.0
84,Black Graduate Student Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,1,400.0
85,Black Pre-Law Association at Berkeley,SAG,Professional RSO,3,250.0
86,Board Games at Berkeley,SAG,Recreational RSO,3,500.0
87,Bold Venture Partners,SAG,Professional RSO,1,400.0
88,Brazilian Student Association at Berkeley,SAG,Cultural & Identity/International RSO,1,400.0
89,BridgeUSA at Berkeley,SAG,Political & Advocacy RSO,3,500.0
90,BSCF,SAG,Professional RSO,1,400.0
91,Burma Association at Berkeley,SAG,Cultural & Identity/International RSO,1,395.0
92,Business Careers in Entertainment Club,SAG,Professional RSO,6,1440.0
93,Business Review at Berkeley,SAG,Publications RSO,2,400.0
94,Cal Actuarial League,SAG,Professional RSO,15,400.0
95,Cal American Civil Liberties Union,SAG,Political & Advocacy RSO,3,457.0
96,American Institute of Aeronautics and Astronautics,SAG,Departmental RSO,3,0.0
97,Cal Berkeley Democrats,SAG,Political & Advocacy RSO,22,4400.0
98,Cal Bhangra,SAG,Performing Arts RSO,6,3500.0
99,Black Student Union,SAG,Cultural & Identity/Cultural & Ethnic RSO,10,500.0
100,Cal Hawai'i Club,SAG,Cultural & Identity/Cultural & Ethnic RSO,31,2675.0
101,Cal Hiking and Outdoor Society,SAG,Recreational RSO,71,5000.0
102,Cal in the Capital,SAG,Service RSO,42,3500.0
103,Cal Japan Club,SAG,Cultural & Identity/Cultural & Ethnic RSO,12,2000.0
104,Cal Performances Student Ambassadors for the Arts,SAG,Arts RSO,6,470.0
105,Cal Queer & Asian,SAG,Cultural & Identity/LGBTQ+ RSO,10,2000.0
106,Cal Taiko,SAG,Performing Arts RSO,15,3500.0
107,Cal Undergraduate Public Health Coalition,SAG,Academic RSO,15,206.0
108,California Public Interest Research Group,SAG,Political & Advocacy RSO,14,500.0
109,CalSlam,SAG,Performing Arts RSO,15,1800.0
110,Catholic Students at Cal - Newman Hall,SAG,Spiritual RSO,8,500.0
111,Celli@Berkeley,SAG,Performing Arts RSO,1,190.0
112,Chinese A Cappella at Berkeley,SAG,Performing Arts RSO,6,500.0
113,Chinese Debate at Berkeley,SAG,Academic RSO,1,400.0
114,Chinese Finance Club,SAG,Professional RSO,1,400.0
115,Chinese People Union,SAG,Cultural & Identity/International RSO,15,500.0
116,Chinese Psychology Group at Berkeley,SAG,Cultural & Identity/International RSO,2,400.0
117,Chinese Student Association,SAG,Cultural & Identity/International RSO,30,7000.0
118,Chun Jin Ahm,SAG,Spiritual RSO,1,400.0
119,Cinebears,SAG,Media & Film RSO,1,250.0
120,Circle K International,SAG,Service RSO,25,6000.0
121,Citizen Entrepreneur Network at Berkeley,SAG,Professional RSO,1,100.0
122,CMG Strategy Consulting,SAG,Professional RSO,3,500.0
123,"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,Political & Advocacy RSO,21,5000.0
124,CodeBase,SAG,Professional RSO,3,0.0
125,Collegiate 100,SAG,Cultural & Identity/Cultural & Ethnic RSO,1,400.0
126,Committee for Korea Studies,SAG,Cultural & Identity/International RSO,15,2000.0
127,Computer Science Undergraduate Association,SAG,Academic RSO,46,2400.0
128,Consult Your Community (CYC) at Berkeley,SAG,Professional RSO,7,2000.0
129,Create at Berkeley,SAG,Technology RSO,1,400.0
130,Creative Applications to Life in Origami,SAG,Arts RSO,8,45.0
131,Cricket Club of Berkeley,SAG,Recreational RSO,1,400.0
132,Crossroads Christian Fellowship: Chinese for Christ Berkeley Church,SAG,Recreational RSO,1,400.0
133,CS KickStart,SAG,Academic RSO,7,2000.0
134,Curling Club at Berkeley,SAG,Recreational RSO,7,600.0
135,Dance Board of Berkeley Dance Community,SAG,Performing Arts RSO,3,0.0
136,Danceworx,SAG,Performing Arts RSO,23,5000.0
137,Data Science Society at Berkeley,SAG,Technology RSO,3,500.0
138,Datong Society of China Studies at Berkeley,SAG,Departmental RSO,3,500.0
139,Debate Society of Berkeley,SAG,Academic RSO,7,2500.0
140,DeCadence,SAG,Performing Arts RSO,19,1500.0
141,Delta Kappa Alpha,SAG,Professional RSO,2,400.0
142,Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,SAG,Professional RSO,16,500.0
143,Department of Integrative Biology Students,SAG,Departmental RSO,4,50.0
144,Dil Se,SAG,Performing Arts RSO,4,300.0
145,Disney Club at Berkeley,SAG,Recreational RSO,2,70.0
146,DiversaTech,SAG,Technology RSO,3,500.0
147,Drawn to Scale,SAG,Performing Arts RSO,9,550.0
148,Eggster Organization,SAG,Service RSO,19,70.0
149,Enactus of Berkeley,SAG,Professional RSO,4,500.0
150,Engineering Student Council,SAG,Departmental RSO,28,84330.0
151,Engineers For A Sustainable World -Berkeley,SAG,Environmental & Sustainability RSO,1,400.0
152,Epsilon Eta,SAG,Environmental & Sustainability RSO,3,500.0
153,EXP Dance,SAG,Performing Arts RSO,3,500.0
154,Exposure-Organization of Student Photographers,SAG,Arts RSO,1,400.0
155,Faces of African Muslims Students,SAG,Spiritual RSO,2,400.0
156,Fashion and Student Trends,SAG,Arts RSO,8,1000.0
157,Fei Tian Dancers,SAG,Performing Arts RSO,16,500.0
158,Fellowship in Christ in Berkeley,SAG,Spiritual RSO,14,1100.0
159,Feminist Majority Leadership Alliance of Berkeley,SAG,Political & Advocacy RSO,1,400.0
160,Food Science and Tech at Cal,SAG,Academic RSO,5,0.0
161,"Food, Equity, Entrepreneurship, & Development",SAG,Professional RSO,4,400.0
162,For Christ's Sake,SAG,Performing Arts RSO,1,400.0
163,Foresight Pre-Optometry Club,SAG,Academic RSO,28,944.0
164,Friends of the Co-ops,SAG,Cultural & Identity/Cultural & Ethnic RSO,87,10000.0
165,"Future Business Leaders of America-Phi Beta Lambda, Inc.",SAG,Professional RSO,14,4100.0
166,Game Design and Development at Berkeley,SAG,Recreational RSO,1,400.0
167,Gaming at Berkeley,SAG,Recreational RSO,8,850.0
168,Gates Millennium Student Association,SAG,Service RSO,13,1000.0
169,GenSex,SAG,Cultural & Identity/Women Interest RSO,3,500.0
170,Geological Association at Berkeley,SAG,Departmental RSO,4,250.0
171,Girls Teaching Girls to Code at Berkeley,SAG,Technology RSO,2,400.0
172,The Golden,SAG,Performing Arts RSO,3,500.0
173,Haas Undergraduate Black Business Association,SAG,Professional RSO,12,500.0
174,Hellenic Student Association at Berkeley,SAG,Cultural & Identity/International RSO,2,350.0
175,"Hispanic Scholarship Fund - University of California, Berkeley Chapter",SAG,Academic RSO,3,500.0
176,IDEA Factory,SAG,Academic RSO,1,205.0
177,iGEM at Berkeley,SAG,Technology RSO,2,400.0
178,Indian Students Association,SAG,Cultural & Identity/International RSO,16,2781.0
179,Interfaith Action Initiative,SAG,Spiritual RSO,4,500.0
180,International Relations Council of Berkeley,SAG,Professional RSO,3,500.0
181,International Students Association at Berkeley,SAG,Cultural & Identity/International RSO,19,2137.0
182,International Undergraduate Student Ministry,SAG,Spiritual RSO,1,400.0
183,InterVarsity Christian Fellowship,SAG,Spiritual RSO,21,4700.0
184,Iranian Students Cultural Organization,SAG,Cultural & Identity/Cultural & Ethnic RSO,22,2750.0
185,Irish Dancers of Berkeley,SAG,Recreational RSO,6,500.0
186,Ismailis at Berkeley,SAG,Spiritual RSO,2,400.0
187,Italian Society at Berkeley,SAG,Cultural & Identity/International RSO,19,960.0
188,J Street U at Berkeley,SAG,Political & Advocacy RSO,1,400.0
189,Jericho!,SAG,Performing Arts RSO,3,500.0
190,Jewish Voice for Peace at Berkeley,SAG,Political & Advocacy RSO,1,140.0
191,Jugger at Berkeley,SAG,Recreational RSO,3,500.0
192,Kappa Alpha Pi Pre-Law Fraternity,SAG,Professional RSO,6,775.0
193,Kappa Gamma Delta,SAG,Professional RSO,1,100.0
194,Kendo Club,SAG,Recreational RSO,4,500.0
195,Klesis,SAG,Spiritual RSO,8,1000.0
196,Koinonia Campus Fellowship,SAG,Spiritual RSO,15,750.0
197,Kojobs at Berkeley,SAG,Professional RSO,3,500.0
198,Korean American Student Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,38,17000.0
199,"Korean Christian Biblical & Theological Studies (Originally ""BCPC"")",SAG,Spiritual RSO,1,400.0
200,Korean Performance Group,SAG,Performing Arts RSO,4,250.0
201,Korean Undergraduate Networking Association,SAG,Professional RSO,12,500.0
202,Korean-American Scientists and Engineers Association (Silicon Valley Chapter),SAG,Academic RSO,4,500.0
203,Latin American Leadership Society,SAG,Cultural & Identity/Cultural & Ethnic RSO,6,800.0
204,Students of Color Emerging in English,SAG,Academic RSO,3,500.0
205,Latinx Pre-Law Society,SAG,Professional RSO,6,500.0
206,Laya of Berkeley,SAG,Performing Arts RSO,1,400.0
207,Le Cercle Français of Berkeley,SAG,Cultural & Identity/International RSO,12,390.0
208,Legends of Berkeley,SAG,Recreational RSO,3,500.0
209,Liberty in North Korea at Berkeley,SAG,Political & Advocacy RSO,15,1500.0
210,Lindy On Sproul,SAG,Performing Arts RSO,9,1500.0
211,Machine Learning at Berkeley,SAG,Technology RSO,1,0.0
212,Main Stacks Dance Team,SAG,Performing Arts RSO,11,320.0
213,Mariachi Luz de Oro,SAG,Performing Arts RSO,8,500.0
214,Materials Science and Engineering Association,SAG,Departmental RSO,4,500.0
215,Math Tournament at Berkeley,SAG,Academic RSO,2,400.0
216,Mathematics Undergraduate Student Association,SAG,Academic RSO,3,500.0
217,Mexican Association of Students at Berkeley,SAG,Cultural & Identity/International RSO,5,500.0
218,Microbial Biology Graduate Student Group,SAG,Academic RSO,2,0.0
219,Microbial Sciences Association,SAG,Academic RSO,3,500.0
220,Microfinance at Berkeley,SAG,Service RSO,7,1000.0
221,Mileage Runners of Berkeley,SAG,Service RSO,2,400.0
222,Mind Body Nutrition: Students for Integrative and Preventive Medicine,SAG,Health & Wellness RSO,3,500.0
223,"Molecular and Cell Biology, Cell Developmental, Neurobiological Association",SAG,Departmental RSO,6,500.0
224,Molecular Cell Biology Undergraduate Student Association,SAG,Departmental RSO,6,1120.0
225,The Movement,SAG,Performing Arts RSO,19,5500.0
226,Muslim Student Association,SAG,Spiritual RSO,33,14900.0
227,National Organization for Women,SAG,Cultural & Identity/Women Interest RSO,1,400.0
228,Natya at Berkeley,SAG,Performing Arts RSO,6,500.0
229,Next Generation Consulting at Berkeley,SAG,Professional RSO,1,400.0
230,Nigerian Students Association,SAG,Cultural & Identity/International RSO,3,500.0
231,Nikkei Choral Ensemble,SAG,Performing Arts RSO,3,500.0
232,Nikkei Student Union,SAG,Cultural & Identity/International RSO,17,2500.0
233,"Out in Science, Technology, Engineering, and Mathematics",SAG,Cultural & Identity/LGBTQ+ RSO,9,0.0
234,Outlet,SAG,Arts RSO,6,400.0
235,OWN IT at Berkeley,SAG,Cultural & Identity/Women Interest RSO,1,400.0
236,Pakistani Student Association,SAG,Cultural & Identity/International RSO,17,1500.0
237,Parliamentary Debate at Berkeley,SAG,Academic RSO,10,2700.0
238,Partners In Health Engage at Berkeley,SAG,Service RSO,2,370.0
239,Partnership for Pre-Professional Pilipinxs,SAG,Professional RSO,19,1300.0
240,"Peers Espousing Amiability, Cooperation, and Education",SAG,Service RSO,7,400.0
241,"Phi Alpha Delta Law Fraternity, International",SAG,Professional RSO,11,700.0
242,Phi Alpha Theta,SAG,Academic RSO,16,850.0
243,Phi Chi Pre-Health Fraternity,SAG,Professional RSO,1,400.0
244,Phi Delta Epsilon,SAG,Professional RSO,12,500.0
245,Phoenix Consulting Group,SAG,Professional RSO,1,400.0
246,Phoenix Symphony at Berkeley,SAG,Performing Arts RSO,5,1400.0
247,Pi Sigma Epsilon,SAG,Professional RSO,5,1000.0
248,Pi Tau Sigma,SAG,Academic RSO,5,500.0
249,Pilipino Association for Health Careers,SAG,Professional RSO,27,5650.0
250,"Pilipinx Association of Scientists, Architects, and Engineers",SAG,Professional RSO,31,2015.0
251,Pilipino Basketball Association,SAG,Recreational RSO,4,105.0
252,Pointe of Berkeley,SAG,Performing Arts RSO,3,500.0
253,Pokemon Club at Berkeley,SAG,Recreational RSO,7,300.0
254,Political Computer Science,SAG,Technology RSO,1,200.0
255,Pre-Medical Honor Society,SAG,Academic RSO,3,190.0
256,Pre-Nursing Society,SAG,Professional RSO,7,570.0
257,"Pre-Pharmacy Informational, Learning and Leadership Society",SAG,Professional RSO,19,2500.0
258,PreDental Society,SAG,Professional RSO,36,1250.0
259,Product Space at Berkeley,SAG,Technology RSO,1,200.0
260,Progressive Student Association,SAG,Political & Advocacy RSO,6,1410.0
261,"Project Pengyou, Berkeley Chapter",SAG,Cultural & Identity/International RSO,5,500.0
262,Puente at Berkeley,SAG,Service RSO,2,400.0
263,Queer + Allied Pre-Health / Pre-Medical Association,SAG,Cultural & Identity/LGBTQ+ RSO,3,500.0
264,Quidditch League at Berkeley,SAG,Recreational RSO,11,0.0
265,Ra-On,SAG,Performing Arts RSO,9,1500.0
266,Raas Ramzat,SAG,Performing Arts RSO,3,500.0
267,RAPrEvention,SAG,Health & Wellness RSO,1,400.0
268,Re-entry and Transfer Student Association,SAG,Service RSO,22,3500.0
269,Reconnect Ministries,SAG,Spiritual RSO,1,400.0
270,Regents' and Chancellor's Scholars Association,SAG,Professional RSO,5,1000.0
271,Robomaster at Berkeley,SAG,Technology RSO,1,0.0
272,Robotics at Berkeley,SAG,Technology RSO,5,0.0
273,Rubik's Cube Club at Berkeley,SAG,Recreational RSO,8,500.0
274,Russian Student Association,SAG,Cultural & Identity/International RSO,14,120.0
275,Salsa at Cal,SAG,Recreational RSO,8,700.0
276,SCUBA at Berkeley,SAG,Recreational RSO,2,400.0
277,Secular Student Alliance at Berkeley,SAG,Political & Advocacy RSO,1,400.0
278,Sigma Alpha Nu,SAG,Academic RSO,9,134.0
279,Sigma Eta Pi,SAG,Professional RSO,3,500.0
280,Sikh Students Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,16,1500.0
281,Smart Woman Securities at Berkeley,SAG,Professional RSO,3,500.0
283,Songwriting at Berkeley,SAG,Performing Arts RSO,3,500.0
284,Sorayya Middle Eastern and Central Asian Dance Troupe,SAG,Performing Arts RSO,1,400.0
285,South Indian Society,SAG,Cultural & Identity/International RSO,4,500.0
286,Space Technologies and Rocketry,SAG,Professional RSO,1,0.0
287,Speech at Berkeley,SAG,Academic RSO,8,1300.0
288,SPIRE,SAG,Professional RSO,5,500.0
289,Sports Analytics Group at Berkeley,SAG,Professional RSO,1,400.0
290,Spring Foundation,SAG,Service RSO,7,1150.0
291,Student Association for Applied Statistics,SAG,Academic RSO,5,900.0
292,Strait Talk,SAG,Cultural & Identity/International RSO,12,1500.0
293,Student Coalition for Disability Rights,SAG,Cultural & Identity/Cultural & Ethnic RSO,1,400.0
294,Student Food Collective,SAG,Environmental & Sustainability RSO,1,400.0
295,Student Nutrition Advocacy Club,SAG,Academic RSO,3,500.0
296,Student Premed Advising Network,SAG,Academic RSO,4,500.0
297,Students for Hip Hop,SAG,Recreational RSO,18,5600.0
298,Students for Justice in Palestine,SAG,Political & Advocacy RSO,13,1500.0
299,Students for Life at Berkeley,SAG,Political & Advocacy RSO,21,3250.0
300,Surfrider Foundation UC Berkeley Club,SAG,Environmental & Sustainability RSO,4,500.0
301,Swim Club at Berkeley,SAG,Recreational RSO,1,400.0
302,T.I.n.Y. Chinese Theatre Group,SAG,Performing Arts RSO,4,500.0
303,Taiwanese American Student Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,23,2010.0
304,Taiwanese Student Association,SAG,Cultural & Identity/International RSO,23,3000.0
305,Tau Beta Pi,SAG,Academic RSO,2,0.0
306,Team Velociraptors,SAG,Performing Arts RSO,1,0.0
307,The Bearettes Drill Team at Berkeley,SAG,Performing Arts RSO,2,400.0
308,The Berkeley Forum,SAG,Professional RSO,9,10651.0
309,The Book Club of Berkeley,SAG,Recreational RSO,1,280.0
310,The Intermission Orchestra,SAG,Performing Arts RSO,3,500.0
311,Student Immigration Relief Clinic at Berkeley,SAG,Service RSO,2,400.0
312,Theta Tau,SAG,Professional RSO,1,400.0
313,Thrive Dance Company,SAG,Performing Arts RSO,7,500.0
314,Tokiha,SAG,Service RSO,2,400.0
315,Toppa at Berkeley,SAG,Professional RSO,1,400.0
316,TrueLement,SAG,Performing Arts RSO,3,0.0
317,UC Berkeley Indus,SAG,Cultural & Identity/Cultural & Ethnic RSO,31,15000.0
318,UC Berkeley Model United Nations,SAG,Academic RSO,27,5500.0
319,UC Jazz Ensembles,SAG,Performing Arts RSO,32,4000.0
320,UC Rally Committee,SAG,Service RSO,119,40000.0
321,Undergraduate Communications Association,SAG,Academic RSO,5,500.0
322,Undergraduate Economics Association,SAG,Academic RSO,19,400.0
323,Undergraduate Legal Honors Society,SAG,Academic RSO,3,405.0
324,Undergraduate Real Estate Club,SAG,Professional RSO,5,1500.0
325,Undergraduate Student Council of the College of Environmental Design,SAG,Departmental RSO,1,55.0
326,Undergraduate Women in Economics at Berkeley,SAG,Cultural & Identity/Women Interest RSO,2,400.0
327,United Nations Association of Berkeley,SAG,Service RSO,1,175.0
328,UNITY Resource Center,SAG,Cultural & Identity/LGBTQ+ RSO,1,400.0
329,Universities Allied for Essential Medicines,SAG,Service RSO,5,750.0
330,Upsilon Pi Epsilon,SAG,Academic RSO,1,400.0
331,UpSync,SAG,Professional RSO,4,500.0
332,Valley Consulting Group,SAG,Professional RSO,4,500.0
333,Vex U Robotics at Berkeley,SAG,Technology RSO,2,400.0
334,VISION,SAG,Cultural & Identity/International RSO,8,1500.0
335,Voyager Consulting,SAG,Professional RSO,6,500.0
336,Wave Makers of Berkeley,SAG,Academic RSO,2,400.0
337,Web Design and Development at Berkeley,SAG,Technology RSO,1,300.0
338,Woman-Identifying Scientists and Engineers Collective Library and Resource Center,SAG,Cultural & Identity/Women Interest RSO,1,400.0
339,Women and Youth Supporting Each Other,SAG,Health & Wellness RSO,1,400.0
340,Womxn in Mathematics at Berkeley,SAG,Cultural & Identity/Women Interest RSO,6,500.0
341,Women in Politics at Berkeley,SAG,Political & Advocacy RSO,2,400.0
342,Young Americans for Liberty,SAG,Political & Advocacy RSO,1,400.0
343,Young Democratic Socialists of America at Berkeley,SAG,Political & Advocacy RSO,2,400.0
344,Zahanat,SAG,Performing Arts RSO,3,500.0
345,100 Strong: Female Mentorship and Leadership Development,SISG,Service RSO,6,1000.0
346,7 Cups at Berkeley,SISG,Health & Wellness RSO,1,500.0
347,Academic Cultural Enrichment Coaches,SISG,Service RSO,4,600.0
348,Active for Alzheimer's at Berkeley,SISG,Service RSO,1,500.0
349,Alternative Breaks,SISG,Service RSO,17,3500.0
350,American Red Cross at Cal,SISG,Service RSO,15,6500.0
351,American Society for Biochemistry and Molecular Biology,SISG,Professional RSO,1,500.0
352,ANova,SISG,Service RSO,3,0.0
353,Anti-Trafficking Coalition at Berkeley,SISG,Service RSO,11,2000.0
354,Asian American and Pacific Islander Health Research Group,SISG,Health & Wellness RSO,1,165.0
355,ASUC Student Legal Clinic,SISG,Service RSO,36,1400.0
356,Bay Area Environmentally Aware Consulting Network,SISG,Environmental & Sustainability RSO,11,400.0
357,Be The Match On Campus at Berkeley,SISG,Service RSO,3,600.0
358,Bears for Elder Welfare,SISG,Service RSO,7,50.0
359,Bears for Palestine,SISG,Cultural & Identity/International RSO,5,2350.0
360,Bears Without Borders,SISG,Service RSO,1,500.0
361,Berkeley Cambodian Students Association,SISG,Cultural & Identity/International RSO,5,830.0
362,Berkeley Disaster Team,SISG,Service RSO,4,600.0
363,Berkeley Medical Reserve Corps,SISG,Health & Wellness RSO,6,1586.0
364,Best Buddies at Berkeley,SISG,Service RSO,13,800.0
365,Bhagat Puran Singh Health Initiative at Berkeley,SISG,Health & Wellness RSO,5,1220.0
366,Bias Busters,SISG,Departmental RSO,1,0.0
367,Bio-Business Initiative,SISG,Professional RSO,1,500.0
368,Blood Pressure Project,SISG,Service RSO,6,500.0
369,"Blueprint, Technology for Nonprofits",SISG,Service RSO,1,500.0
370,Bone Health Initiative,SISG,Health & Wellness RSO,4,600.0
371,Breathe at Berkeley,SISG,Health & Wellness RSO,2,500.0
372,BUILD Literacy Program,SISG,Service RSO,1,500.0
373,Cal Habitat for Humanity,SISG,Service RSO,20,2500.0
374,Cal Community Music,SISG,Performing Arts RSO,34,642.0
375,Cal Rotaract,SISG,Service RSO,16,2000.0
376,Cal Veterans Group,SISG,Cultural & Identity/Cultural & Ethnic RSO,11,3000.0
377,California Health Professional Student Alliance at UC Berkeley,SISG,Political & Advocacy RSO,3,535.0
378,Camp Kesem Berkeley,SISG,Service RSO,11,1000.0
379,Chicano(a)s/Latino(a)s in Health Education,SISG,Cultural & Identity/Cultural & Ethnic RSO,29,3500.0
380,Colleges Against Cancer,SISG,Service RSO,16,1500.0
381,Computer Science Mentors,SISG,Departmental RSO,4,0.0
382,Creative Residencies for Emerging Artists Teaching Empowerment,SISG,Service RSO,7,1000.0
383,Dance Marathon,SISG,Service RSO,14,13880.0
384,Dance the Bay,SISG,Performing Arts RSO,6,600.0
385,De-stress with Dogs,SISG,Health & Wellness RSO,1,485.0
386,Down Syndrome Community Outreach,SISG,Service RSO,1,210.0
387,Engineers and Mentors of Berkeley,SISG,Academic RSO,8,1500.0
388,Engineers Without Borders at Berkeley,SISG,Service RSO,8,0.0
389,EthiCAL Apparel,SISG,Environmental & Sustainability RSO,10,0.0
390,Expanding Your Horizons at Berkeley,SISG,Service RSO,7,1000.0
391,Financial Literacy and Economic Justice Conference,SISG,Professional RSO,2,0.0
392,GiANT Filmmakers,SISG,Media & Film RSO,11,510.0
393,Gift of Life at Berkeley,SISG,Health & Wellness RSO,1,500.0
394,GirlUp at UC Berkeley,SISG,Cultural & Identity/Women Interest RSO,1,500.0
395,Global Medical Missions Alliance at Berkeley,SISG,Service RSO,3,500.0
396,GlobeMed at Berkeley,SISG,Political & Advocacy RSO,3,400.0
397,Grant a Wish at Berkeley,SISG,Service RSO,7,1000.0
398,Health and Medical Apprenticeship Program,SISG,Health & Wellness RSO,36,10700.0
399,Health Leads at Berkeley,SISG,Service RSO,1,500.0
400,Helix @ Berkeley,SISG,Service RSO,1,500.0
401,Hermanos Unidos,SISG,Cultural & Identity/Cultural & Ethnic RSO,2,500.0
402,Hmong Student Association at Berkeley,SISG,Cultural & Identity/International RSO,12,3000.0
