,Organization,Designation
104,"A
Assistants, Therapists, And Practitioners at Berkeley",Academic RSO 
105,Associated Graduates in Near Eastern Studies,Departmental RSO 
106,Association for Muslim Professional Development,Professional RSO 
107,Association for Socially Responsible Business,Professional RSO 
108,Association of Chinese Entrepreneurs at Berkeley,Professional RSO 
109,Association of Korean Artists,Performing Arts RSO 
110,"A
Association of Public Health Infectious Disease Students at Berkeley",Health & Wellness RSO 
111,ASUC - Elections Council,ASUC Government Office 
112,ASUC - Office of Academic Affairs,ASUC Government Office 
113,ASUC - Office of External Affairs,ASUC Government Office 
114,ASUC - Office of the Executive Vice President,ASUC Government Office 
115,ASUC - Office of the President,ASUC Government Office 
116,ASUC - Senate,ASUC Government Office 
117,ASUC AAVP Scholarships,ASUC Government Office 
118,ASUC Admin Office,ASUC Government Office 
119,"A
ASUC Appointed Officials Support Staff",ASUC Government Office 
120,ASUC Commercial Revenue (Cal Lodge),ASUC Government Office 
121,ASUC Diversity Affairs Commission,ASUC Government Program 
122,"A
ASUC Executive Office Leadership Institute",ASUC Government Program 
123,"A
ASUC Finance Office- Chief Finance Officer (CFO)",ASUC Government Office 
124,ASUC Financial Wellness Commission,ASUC Government Office 
125,ASUC Housing Commission,ASUC Government Office 
126,"A
ASUC Intern Program",ASUC Government Program 
127,ASUC Intimate Partner Violence Commission,ASUC Government Office 
128,ASUC Judicial Council,ASUC Government Office 
129,"A
ASUC Legal Office - Chief Legal Officer (CLO)",ASUC Government Office 
130,ASUC Marketing and Communications Office- Chief Communications Officer (CCO),ASUC Government Office 
131,ASUC Mental Health Commission,ASUC Government Office 
132,"A
ASUC Office of Senator Carolyn Le",ASUC Government Office 
133,"A
ASUC Office of Senator Derek Imai",ASUC Government Office 
134,"A
ASUC Office of Senator Emily Fregoso",ASUC Government Office 
135,"A
ASUC Office of Senator Evina Wang",ASUC Government Office 
136,"A
ASUC Office of Senator Haazim Amirali",ASUC Government Office 
137,"A
ASUC Office of Senator Jeremiah Kim",ASUC Government Office 
138,ASUC Office of Senator Joseph Besgen,ASUC Government Office 
139,"A
ASUC Office of Senator Liam Will",ASUC Government Office 
140,"A
ASUC Office of Senator Media Sina",ASUC Government Office 
141,"A
ASUC Office of Senator Melvin Tangonan",ASUC Government Office 
142,ASUC Office of Senator Nicole Anyanwu,ASUC Government Office 
143,ASUC Office of Senator Omotara Oloye,ASUC Government Office 
144,"A
ASUC Office of Senator Rebecca Soo",ASUC Government Office 
145,"A
ASUC Office of Senator Rocky Gerosa",ASUC Government Office 
146,"A
ASUC Office of Senator Romario",ASUC Government Office 
147,"A
ASUC Office of Senator Senator Pedro De Anda Plascencia",ASUC Government Office 
148,ASUC Office of Senator Shelby Weiss,ASUC Government Office 
149,"A
ASUC Office of Senator Sitara Bellam",ASUC Government Office 
150,"A
ASUC Office of Senator Sumrit Grewal",ASUC Government Office 
151,"A
ASUC Office of Senator Sylvia Targ",ASUC Government Office 
152,"A
ASUC Office of Senator William Wang",ASUC Government Office 
153,"A
ASUC Personnel Office- Chief Personnel Officer (CPO)",ASUC Government Office 
154,"ASUC Perspectives, an ASUC Program under the Office of the President",ASUC Government Program 
155,ASUC Police Oversight Commission,ASUC Government Program 
156,"A
ASUC Post-Traditional Student Commission",ASUC Government Program 
157,ASUC Publications and Media Board,ASUC Chartered Program 
158,"A
ASUC Restorative Justice Commission",ASUC Government Office 
159,ASUC Senate Contingency Fund,ASUC Government Program 
160,ASUC Sexual Violence Commission,ASUC Government Program 
161,ASUC Student Advocate Office,ASUC Government Office 
162,ASUC Student Legal Clinic,Service RSO 
163,ASUC Student Union Program Entertainment & Recreation Board,ASUC Chartered Program 
164,ASUC Sustainability Commission,ASUC Government Program 
165,"A
ASUC Technology Office- Chief Technology Officer (CTO)",ASUC Government Office 
166,Atmospheric Science Association of Berkeley,Academic RSO 
167,Aurora Consulting,Professional RSO 
168,Aurum Cosmetics,Technology RSO 
169,"A
Autonomous Motion at California",Technology RSO 
170,Azaad,Performing Arts RSO 
171,"B-Side, The",Publications RSO 
172,BACC Campus,Spiritual RSO 
173,Ballet Company at Berkeley,Performing Arts RSO 
174,Ballet Folklorico Reflejos De Mexico,Performing Arts RSO 
175,Bangali Student Association at Berkeley,Cultural & Identity/International RSO 
176,"B
Bank of the West Student Organization Grant Program",Campus Department
177,BAPS Campus Fellowship,Spiritual RSO 
178,Barbell at Berkeley,Recreational RSO 
179,BARE Magazine,Publications RSO 
180,Bay Area Environmentally Aware Consulting Network,Environmental & Sustainability RSO 
181,"B
Bay Area Optometric Council Mentorship Program at Berkeley",Academic RSO 
182,Bay Area Scientists in Schools at Berkeley,Service RSO 
183,Bay Area Vision Research Day,Academic RSO 
184,BCS Organizing Committee,Professional RSO 
185,Be The Match On Campus at Berkeley,Service RSO 
186,Bear Baller Brand,Recreational RSO 
187,"B
Bear Buddies at Berkeley Law",Recreational RSO 
188,Bear Closet,Cultural & Identity/LGBTQ+ RSO 
189,Bear Connections,Professional RSO 
190,Bear Power Fund,Service RSO 
191,"Bearettes Drill Team at Berkeley, The",Performing Arts RSO 
192,Bears Against ICE,Political & Advocacy RSO 
193,Bears for Elder Welfare,Service RSO 
194,Bears for Israel,Political & Advocacy RSO 
195,Bears for Palestine,Cultural & Identity/International RSO 
196,"B
BearShare",Service RSO 
197,"B
BERC Law",Environmental & Sustainability RSO 
198,BERC Undergraduate,Environmental & Sustainability RSO 
199,BERKE1337 Cyber Security Team,Technology RSO 
200,Berkeley Art Museum Pacific Film Archive Student Committee,Arts RSO 
201,Berkeley Bahai Club,Spiritual Organization 
202,Berkeley Ballroom Dancers,Performing Arts RSO 
203,Berkeley Business Society,Professional RSO 
204,Berkeley Cambodian Students Association,Cultural & Identity/International RSO 
205,Berkeley Carillon Guild,Performing Arts RSO 
206,Berkeley Chinese Students and Scholars Association,Cultural & Identity/International RSO 
207,Berkeley Christian Fellowship,Spiritual RSO 
208,Berkeley College Republicans,Political & Advocacy RSO 
209,"B
Berkeley Conservative Society",Political & Advocacy RSO 
210,Berkeley Consulting,Professional RSO 
211,Berkeley Disaster Team,Service RSO 
212,Berkeley Economic Review,Academic RSO 
213,Berkeley Energy and Resources Collaborative (Graduate group),Environmental & Sustainability RSO 
214,Berkeley Fiction Review,Publications RSO 
215,"Berkeley Forum, The",Professional RSO 
216,"B
Berkeley Graduate, The",GA Government Office 
217,"Berkeley Group, The",Professional RSO 
218,Berkeley Indonesian Student Association,Cultural & Identity/International RSO 
219,Berkeley Innovation,Arts RSO 
220,Berkeley International Office,Campus Department
221,Berkeley Investment Group,Professional RSO 
222,Berkeley Journal of African American Law and Policy,Publications RSO 
223,Berkeley Journal of Criminal Law,Publications RSO 
224,"B
Berkeley Journal of Employment and Labor Law",Publications RSO 
225,Berkeley Journal of Entertainment and Sports Law,Academic RSO 
226,"Berkeley Journal of Gender, Law & Justice",Publications RSO 
227,Berkeley Journal of International Law,Publications RSO 
228,Berkeley Law & Organizing Collective,Professional RSO 
229,Berkeley Law Anti-Trafficking Project,Service RSO 
230,"B
Berkeley Law Muslim Student Association (formerly Boalt Hall Muslim Student Association)",Spiritual RSO 
231,Berkeley Legal Studies Association,Academic RSO 
232,Berkeley Medical Reserve Corps,Health & Wellness RSO 
233,Berkeley Model United Nations Conference (Formerly known as Berkeley Model United Nations),Academic RSO 
234,Berkeley Nanotechnology Club,Academic RSO 
235,Berkeley New Music Project,Academic RSO 
236,Berkeley Organization for Animal Advocacy,Political & Advocacy RSO 
237,Berkeley Poetry Review,Publications RSO 
238,"Berkeley Political Review, The",Publications RSO 
239,"Berkeley Project, The",Service RSO 
240,Berkeley Public Policy Journal,Publications RSO 
241,Berkeley Review of Education,Publications RSO 
242,Berkeley Science Review,Publications RSO 
243,Berkeley Scientific Journal,Publications RSO 
244,"B
Berkeley Student Foundation",ASUC Government Program 
245,"B
Berkeley Technology Law Journal",Publications RSO 
246,Berkeley Tennis Association (Formerly Tennis at Cal),Recreational RSO 
247,Berkeley Undergraduate Journal,Publications RSO 
248,Berkeley Water Group Idea Lab,Environmental & Sustainability RSO 
249,Berkeley Women in Business,Cultural & Identity/Women Interest RSO 
250,Berksan,Recreational RSO 
251,Best Buddies at Berkeley,Service RSO 
252,Best Laid Plans,Performing Arts RSO 
253,Beta Alpha Psi,Professional RSO 
254,Beta Corporate Solutions,Professional RSO 
255,"B
Beta Sigma Kappa",Professional RSO 
256,Better Beaches at Berkeley,Environmental
257,Beyond Academia,Academic RSO 
258,Beyond the Binary (formerly known as Non-Binary Alliance),Cultural & Identity/LGBTQ+ RSO 
259,Bhagat Puran Singh Health Initiative at Berkeley,Health & Wellness RSO 
260,Bias Busters,Departmental RSO 
261,BicyCal,Environmental & Sustainability RSO 
262,Big Data at Berkeley,Academic RSO 
263,"B
Big Ideas@Berkeley",Campus Department - Advised by Millicent Morris Chaney
264,Bio-Business Initiative,Professional RSO 
265,BioEngineering Association of Students,Academic RSO 
266,Bioengineering Honor Society,Academic RSO 
267,"B
BioethiCAL",Academic RSO 
268,Biofuels Technology Club,Environmental & Sustainability RSO 
269,Biomedical Engineering Society,Academic RSO 
270,Biophysics Graduate Group,Departmental RSO 
271,Bioprinting at Berkeley,Technology RSO 
272,"B
Biostatistics Graduate Student Association",Academic RSO 
273,Black Advocates for Equity in Health,Departmental RSO 
274,Black Campus Ministries @ Cal,Spiritual RSO 
275,Black Engineering and Science Students Association,Cultural & Identity/Cultural & Ethnic RSO 
276,"B
Black Geographies at Berkeley",Academic RSO 
277,Black Graduate Engineering and Science Students,Cultural & Identity/Cultural & Ethnic RSO 
278,Black Graduate Student Association,Cultural & Identity/Cultural & Ethnic RSO 
279,Black Pre-Law Association at Berkeley,Professional RSO 
280,Black Recruitment and Retention Center,Sponsored - bridges 
281,Black Sociological Alliance,Cultural & Identity/Cultural & Ethnic RSO 
282,Black Student Union,Cultural & Identity/Cultural & Ethnic RSO 
283,Black Students in Health Association,Cultural & Identity/Cultural & Ethnic RSO 
284,Blacks in Public Policy,Academic RSO 
285,"B
BlackWater Equity Analysis & Research",Professional RSO 
286,"B
Blockchain at Berkeley (formerly Bitcoin Association of Berkeley)",Technology RSO 
287,Blood Pressure Project,Service RSO 
288,Blue and Gold Yearbook,Publications RSO 
289,"Blueprint, Technology for Nonprofits",Service RSO 
290,Boalt Immigration Group,Political & Advocacy RSO 
291,Boalt on Break,Service RSO 
292,Board Games at Berkeley,Recreational RSO 
293,Board of Advocates,Political & Advocacy RSO 
294,Bold Venture Partners,Professional RSO 
295,Bone Health Initiative,Health & Wellness RSO 
296,"Book Club of Berkeley, The",Recreational RSO 
297,Bootleg Comedy (formerly Mainline Comedy Force),Performing Arts 
298,Borders and Bodies Collective,Political & Advocacy RSO 
299,Boricuas at Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
300,"B
Bowlt Hall Boaling Society",Professional RSO 
301,BrainTrust,Health & Wellness RSO 
302,Brave Resistance Against Inter-Partner Violence,Political & Advocacy RSO 
303,Brazilian Student Association at Berkeley,Cultural & Identity/International RSO 
304,"B
Bread & Roses",Academic RSO 
305,Breathe at Berkeley,Health & Wellness RSO 
306,bridges Multicultural Resource Center,Sponsored - bridges 
307,BridgeUSA at Berkeley,Political & Advocacy RSO 
308,Bringing Law into Science and Society at Berkeley,Academic RSO 
309,Brown Issues,Service RSO 
310,BSCF,Professional RSO 
311,BUILD Literacy Program,Service RSO 
312,Building Sustainability at Cal,Environmental & Sustainability RSO 
313,"B
Bullet Journal Bears",Arts RSO 
314,Burma Association at Berkeley,Cultural & Identity/International RSO 
315,Business Careers in Entertainment Club,Professional RSO 
316,Business Review at Berkeley,Publications RSO 
317,Business Transfer Network of Berkeley,Professional RSO 
318,"C
CafeCat: Grup de conversa en català",Cultural & Identity/International RSO 
319,Cal Actuarial League,Professional RSO 
320,Cal Alumni Student Association,Academic RSO 
321,Cal American Civil Liberties Union,Political & Advocacy RSO 
322,Cal Animage Alpha,Media & Film RSO 
323,Cal Berkeley Democrats,Political & Advocacy RSO 
324,Cal Bhangra (formerly Golden Bear Competitive Bhangra),Performing Arts RSO 
325,Cal Christian Fellowship,Spiritual RSO 
326,Cal Community Music,Performing Arts RSO 
327,Cal Convergent,Professional RSO 
328,Cal Dragon Boat,Recreational RSO 
329,Cal Habitat for Humanity,Service RSO 
330,Cal Hang-Gliding Club,Recreational RSO 
331,Cal Hawai'i Club,Cultural & Identity/Cultural & Ethnic RSO 
332,Cal Hiking and Outdoor Society,Recreational RSO 
333,Cal in Local Government,Service RSO 
334,Cal in the Capital,Service RSO 
335,"C
Cal Interfaith Council",Supporting the LEAD Center Spiritual Organization communituy
336,Cal Japan Club,Cultural & Identity/Cultural & Ethnic RSO 
337,Cal Literature & Arts Magazine,Publications RSO 
338,Cal Performances Student Ambassadors for the Arts,Arts RSO 
339,Cal Pre-Vet Club,Academic RSO 
340,Cal Queer & Asian,Cultural & Identity/LGBTQ+ RSO 
341,Cal Rotaract,Service RSO 
342,Cal Running Club,Recreational RSO 
343,Cal Seismic Design Team,Departmental RSO 
344,Cal Student Assistance for Public Health,Service RSO 
345,Cal Student Philanthropy,Service RSO 
346,Cal Super Mileage Vehicle Team,Departmental RSO 
347,Cal Taiko,Performing Arts RSO 
348,Cal Undergraduate Public Health Coalition,Academic RSO 
349,Cal Veterans Group,Cultural & Identity/Cultural & Ethnic RSO 
350,CalGreeks Alcohol Task Force,CalGreeks Fraternity & Sorority Support Organizations 
351,Caliber Magazine,Publications RSO 
352,California Archery,Recreational RSO 
353,"C
California Asylum Representation Clinic",Political & Advocacy RSO 
354,California CrossFit Club,Recreational RSO 
355,California Health Professional Student Alliance at UC Berkeley,Political & Advocacy RSO 
356,California Mock Trial,Academic RSO 
357,California Public Interest Research Group,Political & Advocacy RSO 
358,"Californians, The",Sponsored RSO 
359,"C
CALLINK TEST ORGANIZATION",Service Student Orgs - Advised by Millicent Morris
360,CalSlam,Performing Arts RSO 
361,CalSol,Professional RSO 
362,CalTV,ASUC Chartered Program 
363,Camp Alima at Berkeley,Service RSO 
364,Camp Kesem Berkeley,Service RSO 
365,Campus Evangelistic Fellowship - Mandarin Group,Spiritual RSO 
366,Cannabis Law Society,Professional RSO 
367,Capital Investments at Berkeley,Professional RSO 
368,"C
Capri Club",Spiritual RSO 
369,Caravan Travel & Style Magazine,Publications RSO 
370,"C
Casa Esperanza",Service RSO 
371,Casa Joaquin Murrieta,Professional RSO 
372,Catholic Students at Cal - Newman Hall,Spiritual RSO 
373,Catholics at Berkeley Law,Spiritual RSO 
374,CED Students of Color,Cultural & Identity/Cultural & Ethnic RSO 
375,Central Americans for Empowerment at Berkeley,Cultural & Identity/International RSO 
376,Chabad Jewish Student Group at Berkeley,Spiritual RSO 
377,"C
Chagas Disease Initiative",Service RSO 
378,Chamber Chorus Association,Performing Arts RSO 
379,Chec Consulting (Formerly Chemical Engineering Consulting),Professional RSO 
380,Chemical and Biomolecular Engineering Graduate Student Advisory Committee,Departmental RSO 
381,Chemical Engineering Car,Academic RSO 
382,Chemistry Graduate Life Committee,Departmental RSO 
383,Chess Club at Berkeley,Recreational RSO 
384,Chi Epsilon - Civil Engineering Honor Society,Academic RSO 
385,Chi Omega,CalGreeks Panhellenic Council (PHC) Sororities 
386,Chi Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
387,Chi Psi,CalGreeks Interfraternity Council (IFC) Fraternities 
388,"C
Chicano Studies",Campus Department
389,Chicano(a)s/Latino(a)s in Health Education,Cultural & Identity/Cultural & Ethnic RSO 
390,Chicanx/ Latinx Architecture Student Association [Formerly Chican@/ Latin@ Architecture Student Association],Cultural & Identity/Cultural & Ethnic RSO 
391,China Law Association at Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
392,Chinese A Cappella at Berkeley,Performing Arts RSO 
393,Chinese Finance Club,Professional RSO 
394,Chinese Graduate and Postdoctoral Scholars Association,Cultural & Identity/Cultural & Ethnic RSO 
395,Chinese People Union,Cultural & Identity/International RSO 
396,Chinese Photography Association at Berkeley,Arts RSO 
397,Chinese Psychology Group at Berkeley,Cultural & Identity/International RSO 
398,CHINESE READING GROUP AT BERKELEY,Cultural & Identity/International RSO 
399,Chinese Student Association,Cultural & Identity/International RSO 
400,Chinese Student Theatre Company,Performing Arts RSO 
401,Chinmaya Yuva Kendra West at Berkeley,Performing Arts RSO 
402,Christian Medical and Dental Associations Chapter at Berkeley,Health & Wellness RSO 
403,"C
Christians at BerkeleyLaw",Spiritual RSO 
404,Christians on Campus,Spiritual RSO 
405,Chun Jin Ahm,Spiritual RSO 
406,Cinebears,Media & Film RSO 
407,Cinematic Arts and Production Club,Media & Film RSO 
408,Circle K International,Service RSO 
409,Citizen Entrepreneur Network at Berkeley,Professional RSO 
410,"Citizens Foundation at Berkeley, The",Service RSO 
411,City Planning + Public Health Master's Students Committee,Professional RSO 
412,Civil and Environmental Engineering Joint Fundraising Committee,Academic RSO 
413,"C
Civil Discourse Society of Berkeley",Political & Advocacy RSO 
414,"Classical Forum, The",Academic RSO 
415,"CLEAR Project, The",Academic RSO 
416,Climbing Team of Berkeley,Recreational RSO 
417,Clio's Scroll,Publications RSO 
418,CMG Strategy Consulting (Formerly Creative Marketing Group),Professional RSO 
419,CNMAT Users Group,Academic RSO 
420,Coaching Corps at Berkeley,Service RSO 
421,Coalition for Diversity at Berkeley Law,Departmental RSO 
422,"C
Coalition for Self-Determination",Political & Advocacy RSO 
423,"Coalition for the Institutionalization of Free Menstrual Products, The",Health & Wellness RSO 
424,"C
Coalition of Concerned Medical Professionals at Berkeley",Service RSO 
425,Coalition to Defend Affirmative Action By Any Means Necessary,Political & Advocacy RSO 
426,Cocoa & Company,Professional RSO 
427,CodeBase,Lead Center Category: Professional RSO - Advised by Deepak Sharma
428,Codeology,Technology RSO 
429,Cognitive Science Students Association,Academic RSO 
430,"C
Cognizance",Academic RSO 
431,College Diabetes Network at Berkeley,Health & Wellness RSO 
432,"C
College of Chemistry Article Club",Departmental RSO 
433,Colleges Against Cancer,Service RSO 
434,Collegiate 100 (formerly 100 College Black Men),Cultural & Identity/Cultural & Ethnic RSO 
435,"C
Colombians at Berkeley",Cultural & Identity/International RSO 
436,Colors of Theater,Cultural & Identity/Cultural & Ethnic RSO 
437,Committee for Korea Studies,Cultural & Identity/International RSO 
438,"C
Community Building Fund",ASUC Government Program 
439,Community Legal Outreach,Service RSO 
440,"C
Community Projects",Service RSO 
441,"C
Community Restorative Justice",Service RSO 
442,Community Spotlight,Service RSO 
443,Comparative Literature Undergraduate Journal,Publications RSO 
444,Computational Materials at Berkeley,Professional RSO 
445,Computer Science Mentors,Departmental RSO 
446,Computer Science Undergraduate Association,Academic RSO 
447,Concrete Canoe,Departmental RSO 
448,Confi,Health & Wellness RSO 
449,Conscious and Responsible Engineering and Science,Service RSO - Advised by Millicent Morris
450,Construction Competition Team,Professional RSO 
451,Consult Your Community (CYC) at Berkeley,Professional RSO 
452,Consulting Regionally in Biotech at Berkeley,Professional RSO 
453,Consulting School,Professional RSO 
454,Consumer Advocacy and Protection Society,Professional RSO 
455,Consumer Rights Workshop,Service RSO 
456,"C
Contra Costa Reentry Project",Service RSO 
457,"C
COOPERATIVE OPPORTUNITY FUND",ASUC Government Program 
458,Coptic Club at Berkeley,Spiritual RSO 
459,Corral Correspondence,Service RSO 
460,Cosmopolitan Philosophy at Berkeley,Academic RSO 
461,"C
Crabbers and Anglers of Berkeley",Environmental & Sustainability RSO 
462,Creative Applications to Life in Origami,Arts RSO 
463,"C
Creative Arts to Reinspire and Empower",Arts RSO 
464,Creative Residencies for Emerging Artists Teaching Empowerment,Service RSO 
465,Cricket Club of Berkeley,Recreational RSO 
466,"C
Criminal Defense Society",Professional RSO 
467,Crohn's and Colitis Awareness Society,Health & Wellness RSO 
468,Crossroads Christian Fellowship: Chinese for Christ Berkeley Church,Recreational RSO 
469,CRSSO - Conservation & Resource Studies Student Organization,Environmental & Sustainability RSO 
470,Cru,Spiritual RSO 
471,CS KickStart,Academic RSO 
472,Curling Club at Berkeley,Recreational RSO 
473,Daily Californian,Publications RSO 
474,Dance Board of Berkeley Dance Community,Performing Arts RSO 
475,Dance For All Bodies,Service RSO 
476,Dance the Bay,Performing Arts RSO 
477,Danceworx,Performing Arts RSO 
478,Daraja at Berkeley,Service RSO 
479,Data Bears,Technology RSO 
480,Data Science Society at Berkeley,Technology RSO 
481,"D
DataStory",Academic RSO 
482,Datong Society of China Studies at Berkeley,Departmental RSO 
483,De Colores [Formerly Young Queers United for Empowerment],Cultural & Identity/LGBTQ+ RSO 
484,De-stress with Dogs,Health & Wellness RSO 
485,Debate Society of Berkeley,Academic RSO 
486,DeCadence,Performing Arts RSO 
487,Delta Delta Delta,CalGreeks Panhellenic Council (PHC) Sororities 
488,Delta Gamma,CalGreeks Panhellenic Council (PHC) Sororities 
489,Delta Kappa Alpha,Professional RSO 
490,Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,Professional RSO 
491,Delta Sigma,CalGreeks Panhellenic Council (PHC) Sororities 
492,Delta Sigma Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
493,"Delta Sigma Theta Sorority, Inc.",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
494,Delta Upsilon,CalGreeks Interfraternity Council (IFC) Fraternities 
495,Delta Xi Phi Multicultural Sorority,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
496,Democratic Education at Cal,ASUC Chartered Program 
497,Department of Integrative Biology Students,Departmental RSO 
498,Der Kreis,Academic Organizations 
499,Development Solutions Organization (DSO),Professional RSO 
500,"D
Digital Rights Project",Service RSO 
501,Dil Se,Performing Arts RSO 
502,"D
Disabled Law Student and Allies Association",Cultural & Identity/Cultural & Ethnic RSO 
503,Disney Club at Berkeley,Recreational RSO 
504,DiversaTech,Technology RSO 
505,Doctors Without Borders at Berkeley,Service RSO - Advised by Millicent Morris
506,Drawn to Scale,Performing Arts RSO 
507,DREAM Campus Ministry,Service RSO 
508,"D
DUPE - GA Neuroimaging Student Group at Berkeley",GA Government Project 
509,Dutch Student Association at Berkeley,Cultural & Identity/International RSO 
510,Dwinelle Hall Breakers,Recreational RSO 
511,"E
Earth Week Committee",ASUC Government Program 
