,Year,Organization,Type,Standing,Allocation
175,2012,Phi Alpha Theta/History Honors Society,SAG,8.0,$634.50
176,2012,Phi Chi Pre-Med Fraternity,SAG,2.0,$200.00
177,2012,Phi Gamma Nu,SAG,12.0,$628.99
178,2012,Phi Sigma Pi,SAG,11.0,$605.05
179,2012,Pi Sigma Alpha - Iota Chapter,SAG,1.0,$50.00
180,2012,Pilipino American Alliance,SAG,22.0,"$5,315.02"
181,2012,Pilipino Association for Health Careers,SAG,20.0,"$2,097.51"
182,2012,"Pilipino Association of Scientists, Architects, and Engineers",SAG,24.0,Sponsorship Only
183,2012,Pre-Dental Society,SAG,30.0,$655.20
184,2012,Pre-Health Society (Formerly known as Asian-Ameircan Health Society),SAG,6.0,$734.13
185,2012,Pre-Nursing Society,SAG,2.0,$200.00
186,2012,Pre-Pharmacy Information Learning and Leadership Society (PILLS),SAG,12.0,$757.20
187,2012,Psi Chi,SAG,7.0,$364.00
188,2012,Queer Straight Alliance (QSA),SAG,5.0,$378.00
189,2012,Quiz Bowl Club,SAG,17.0,$456.96
190,2012,Ra-On,SAG,2.0,$200.00
191,2012,React to Film,SAG,1.0,$50.00
192,2012,Rubik's Cube Club at Berkeley,SAG,1.0,$50.00
193,2012,"Russian Club, The",SAG,9.0,$436.80
194,2012,Salsa Dance,SAG,2.0,$52.50
195,2012,Sigma Alpha Nu Co-Ed Pre-Law Fraternity,SAG,5.0,$105.00
196,2012,Sigma Eta Pi,SAG,1.0,$50.00
197,2012,Sikh Student Association,SAG,6.0,$700.00
198,2012,Singapore Malaysia Student Association,SAG,6.0,$382.20
199,2012,Society of Hong Kong and Chinese Affairs (SHKCA),SAG,20.0,$683.55
200,2012,Strait Talk,SAG,5.0,$600.60
201,2012,Student Commuters at Cal,SAG,5.0,$420.00
202,2012,Student Food Collective,SAG,1.0,$50.00
203,2012,Students for a Sensible Drug Policy,SAG,3.0,$25.10
204,2012,Students for Hip-hop,SAG,12.0,"$2,037.21"
205,2012,Students for Integrative Medicine (SIM),SAG,3.0,$163.80
206,2012,Students for Justice in Palestine,SAG,7.0,$472.50
207,2012,Students for Liberty,SAG,4.0,$367.50
208,2012,Taiwanese American Student Association,SAG,16.0,"$1,475.22"
209,2012,Taiwanese Student Association (TSA),SAG,16.0,"$1,365.00"
210,2012,TAMID Israel Investment Group,SAG,1.0,$50.00
211,2012,Tennis at Cal,SAG,7.0,Sponsorship Only
212,2012,The Berkeley Group,SAG,10.0,$900.20
213,2012,The Californians,SAG,11.0,"$2,446.22"
214,2012,The Cooking Club,SAG,5.0,$436.80
215,2012,The Movement,SAG,13.0,"$3,146.27"
216,2012,The Music Connection,SAG,4.0,$218.40
217,2012,Theatre Rice,SAG,14.0,"$2,948.40"
218,2012,Theta Tau,SAG,2.0,$200.00
219,2012,Third Space Christian Fellowship,SAG,1.0,$50.00
220,2012,Thrive Dance Company,SAG,1.0,$50.00
221,2012,Toxicology Student Association of Berkeley (ToxSA),SAG,2.0,$210.00
222,2012,TROO Artistic Ventures,SAG,1.0,$50.00
223,2012,Tzu Chi,SAG,5.0,$322.00
224,2012,UC Berkeley Model United Nations,SAG,20.0,"$6,615.00"
225,2012,UC Jazz Ensemble (UCJE),SAG,26.0,$520.00
226,2012,Undergraduate Economics Association,SAG,13.0,$268.48
227,2012,Undergraduate Finance Association | Undergraduate Management Consulting Group,SAG,5.0,$336.49
228,2012,Undergraduate Marketing Association,SAG,16.0,$630.00
229,2012,Undergraduate Political Science Association,SAG,10.0,$393.12
230,2012,University of California Rally Committee,SAG,111.0,"$35,490.00"
231,2012,Wrestling Club at Berkeley,SAG,6.0,$300.00
232,2012,YOUNG QUEERS UNITED FOR EMPOWERMENT,SISG,5.0,$235.97
233,2012,"100 College Black Men, Berkeley Campus",SISG,2.0,$62.50
234,2012,Alpha Phi Alpha,SISG,10.0,"$1,060.22"
235,2012,Alternative Breaks,SISG,10.0,"$1,178.02"
236,2012,American Red Cross at Cal,SISG,8.0,"$2,463.00"
237,2012,Amnesty International at Berkeley,SISG,32.0,$967.48
238,2012,Arab Recruitment and Retention Center,SISG,2.0,$105.00
239,2012,ASUC Renters' Legal Assistance,SISG,30.0,"$4,563.30"
240,2012,ASUC Student Legal Clinic,SISG,29.0,"$3,525.80"
241,2012,Bay-Area Environmentally Aware Consulting Network (BEACN),SISG,5.0,$354.90
242,2012,BCC Service Community,SISG,1.0,$100.00
243,2012,Bears for Elder Welfare,SISG,1.0,$100.00
244,2012,Bears for UNICEF (UNICEF at Cal),SISG,10.0,$786.87
245,2012,Berkeley Cambodian Students Association (BCSA),SISG,14.0,$577.50
246,2012,Berkeley Engineers and Mentors,SISG,4.0,$200.00
247,2012,Best Buddies,SISG,6.0,$416.47
248,2012,Black Recruitment and Retention Center,SISG,30.0,"$42,516.41"
249,2012,Black Students in Health Association,SISG,3.0,$150.00
250,2012,bridges Multicultural Resource Center,SISG,16.0,"$15,670.20"
251,2012,Cal Berkeley Habitat for Humanity,SISG,12.0,"$1,935.02"
252,2012,Cal Camp,SISG,64.0,"$14,726.63"
253,2012,Cal Community Music (CCM),SISG,28.0,$241.87
254,2012,Cal Corps Public Service Center,SISG,44.0,"$35,175.00"
255,2012,Cal Do Something,SISG,4.0,$200.00
256,2012,Cal Health Coalition,SISG,2.0,"$2,663.93"
257,2012,Cal in Local Government,SISG,4.0,"$1,719.96"
258,2012,Cal Queer & Asian,SISG,4.0,$757.91
259,2012,California Public Interest Research Group,SISG,8.0,$488.00
260,2012,Cal Veteran's Group,SISG,4.0,"$1,024.00"
261,2012,CHE(Chicanos/Latinos in Health Education),SISG,23.0,"$2,193.83"
262,2012,Colleges Against Cancer: Relay for Life,SISG,3.0,$164.00
263,2012,Delta Sigma Theta Sorority Incorporated Kappa Chapter,SISG,12.0,$400.00
264,2012,Democratic Education at Cal (DeCal),SISG,30.0,"$5,148.78"
265,2012,Drawn to Scale,SISG,2.0,$105.00
266,2012,Engineers without Borders,SISG,2.0,Sponsorship Only
267,2012,Expanding Your Horizons at Berkeley,SISG,1.0,$100.00
268,2012,Facilitation Team at Cal,SISG,1.0,$100.00
269,2012,FeelGood,SISG,5.0,$644.99
270,2012,Gamma Zeta Alpha,SISG,5.0,"$1,074.98"
271,2012,Gates Millennium Scholars Association,SISG,6.0,"$1,317.00"
272,2012,GIANT - UC Berkeley Filmmakers,SISG,8.0,"$1,432.41"
273,2012,Global Medical Brigades at Berkeley,SISG,3.0,$344.54
274,2012,Health and Medical Apprenticeship Program (HMAP),SISG,28.0,"$12,899.71"
275,2012,Hermanas Unidas,SISG,7.0,$600.00
276,2012,Hermanos Unidos,SISG,7.0,Sponsorship Only
277,2012,Hispanic Engineers and Scientists,SISG,5.0,Sponsorship Only
278,2012,Hmong Student Association at Berkeley,SISG,5.0,"$1,066.38"
279,2012,Hispanic Scholarship Fund,SISG,5.0,$200.00
280,2012,Inside the Living Room,SISG,3.0,$287.82
281,2012,Iu-Mien Student Union,SISG,6.0,$496.14
282,2012,Labor Coach Program,SISG,2.0,$65.00
283,2012,"Lambda Theta Alpha Latin Sorority, Inc.",SISG,6.0,$895.44
284,2012,Lambda Theta Phi Latin Fraternity,SISG,6.0,"$1,000.00"
285,2012,Laotian American Student Representative,SISG,14.0,$504.00
286,2012,Let's Rise Asian Mentorship,SISG,10.0,"$1,575.00"
287,2012,Movimiento Estudiantil Chicano/Xicana de Atzlan (MEChxA) de UC Berkeley,SISG,2.0,$474.09
288,2012,National Council of Negro Women,SISG,6.0,"$1,400.00"
289,2012,Native American Recruitment and Retention Center,SISG,20.0,"$10,873.30"
290,2012,Oakland Asian Students Educational Services (OASES),SISG,10.0,$803.13
291,2012,Open Computing Facility,SISG,23.0,"$21,266.70"
292,2012,Pacific Islanders at Cal,SISG,5.0,$997.50
293,2012,Paws and Claws of Berkeley,SISG,1.0,$40.00
294,2012,People's Test Preparation Service,SISG,16.0,"$3,332.42"
295,2012,Phi Delta Epsilon,SISG,5.0,$210.00
296,2012,Pilipino Academic Student Services,SISG,28.0,"$23,326.97"
297,2012,Project RISHI,SISG,5.0,$620.18
298,2012,Project Spreading Multiculturalism and Inspiring Leadership through Education (Project SMILE),SISG,4.0,"$2,310.00"
299,2012,Project Vision,SISG,6.0,$420.00
300,2012,Prytanean Women's Honor Society,SISG,1.0,$100.00
301,2012,PUENTE,SISG,1.0,$100.00
302,2012,Queer Alliance and Resource Center,SISG,45.0,"$12,983.55"
303,2012,RAZA Caucus,SISG,1.0,$50.00
304,2012,Raza Recruitment & Retention Center,SISG,35.0,"$42,864.51"
305,2012,REACH! Asian Pacific Islander Recruitment & Retention Center,SISG,17.0,"$15,646.27"
306,2012,Re-Entry Transfer Student Association,SISG,15.0,"$1,120.48"
307,2012,RISE,SISG,5.0,$157.50
308,2012,Rotaract Club,SISG,8.0,"$1,200.00"
309,2012,Seed of Health,SISG,1.0,$100.00
310,2012,Service Network at Berkeley,SISG,1.0,$100.00
311,2012,"Sigma Pi Alpha Sorority, Inc.",SISG,4.0,$700.00
312,2012,Southeast Asian Mentorship (SEAM),SISG,6.0,$618.11
313,2012,Southeast Asian Prison Outreach Project,SISG,2.0,$25.00
314,2012,Southeast Asian Student Coalition,SISG,12.0,"$2,835.00"
315,2012,Spread The Word,SISG,1.0,$100.00
316,2012,Spring Foundation,SISG,1.0,$100.00
317,2012,STOP the Traffick,SISG,6.0,$456.88
318,2012,Student Parent Association for Recruitment and Retension (SPARR),SISG,14.0,"$1,902.81"
319,2012,Student-to-Student Peer Counseling,SISG,22.0,"$3,700.00"
320,2012,Supporting Peers in Laid-Back Listening (SPILL),SISG,3.0,$50.00
321,2012,Take Back the Night,SAG,10.0,$300.00
322,2012,Teach In Prison,SISG,4.0,$500.00
323,2012,Team HBV,SISG,6.0,$739.69
324,2012,The Berkeley Project,SISG,6.0,"$1,575.00"
325,2012,The Magnolia Project,SISG,6.0,$886.85
326,2012,The Suitcase Clinic,SISG,14.0,"$2,348.82"
327,2012,Theater for Charity,SISG,8.0,$709.20
328,2012,TRENZA,SISG,14.0,"$1,601.00"
329,2012,Universal Love and Peace,SISG,2.0,$300.00
330,2012,Union Salvdorena de Estudiantes Universitarios,SISG,1.0,$50.00
331,2012,V-Day at Berkeley,SISG,6.0,"$1,214.84"
332,2012,Vietnamese Student Association,SISG,21.0,"$2,315.71"
333,2012,Volunteer Health Interpreters Organization (VHIO),SISG,7.0,$800.00
334,2012,Volunteers for Medical Outreach,SISG,5.0,$688.80
335,2012,Wonderworks,SISG,2.0,$105.00
336,2012,World Literacy Project,SISG,1.0,$100.00
337,2012,Xinaxtli,SISG,41.0,"$2,757.31"
338,2012,Youth Empowerment Program,SISG,1.0,$100.00
339,2012,Youth Support Program,SISG,17.0,"$1,207.81"
340,2012,D.U.L.C.E.: Diabetes Unidos Lograremos Controlar esta Enfermedad,SISG,5.0,$475.00
341,2012,Disabled Students Union,SISG,8.0,"$1,700.00"
342,2012,President,GOVT,,"$10,000.00"
343,2012,Executive Vice President,GOVT,,"$10,000.00"
344,2012,External Affairs Vice President,GOVT,,"$18,000.00"
345,2012,Academic Affairs Vice President,GOVT,,"$10,000.00"
346,2012,Student Advocate,GOVT,,"$10,500.00"
347,2012,Senate Only,GOVT,,"$7,000.00"
348,2012,Secretariat,GOVT,,"$64,000.00"
349,2012,Judicial Council,GOVT,,$543.00
350,2012,Finance Officer,GOVT,,"$1,500.00"
351,2012,Systems Administrator,GOVT,,"$16,000.00"
352,2012,Webmaster,GOVT,,"$1,000.00"
353,2012,Attorney General,GOVT,,"$1,000.00"
354,2012,Advocacy Agenda,GOVT,,$800.00
355,2012,Elections Council,GOVT,,"$30,000.00"
356,2012,Allocation to the Graduate Assembly,GRAD,,"$416,200.00"
357,2012,ASUC Archives,OPS,,"$4,000.00"
358,2012,ASUC Information Desk,OPS,,"$5,000.00"
359,2012,Attorney's Fees,OPS,,"$60,000.00"
360,2012,Audit,OPS,,"$15,000.00"
361,2012,Cal Lodge,OPS,,"$20,000.00"
362,2012,CNS Internet Operations Fee,OPS,,"$13,257.00"
363,2012,Eshelman Library,OPS,,$0.00
364,2012,Publication Center,OPS,,"$4,500.00"
365,2012,Student Sustainability,OPS,,"$1,500.00"
366,2012,UC Student Association,OPS,,"$32,026.80"
367,2012,Academic Opportunity Fund,PRO,,"$10,000.00"
368,2012,ASUC Fund for Intellectual Community,PRO,,"$5,000.00"
369,2012,ASUC Green Certification Program,PRO,,"$1,000.00"
370,2012,ASUC Lobby Corps,PRO,,"$5,500.00"
371,2012,Cal Day Concert,PRO,,"$10,000.00"
372,2012,CAL Housing Commission,PRO,,"$2,500.00"
373,2012,Commission of Diversity Affairs,PRO,,$400.00
374,2012,Dance Marathon,PRO,,"$5,000.00"
375,2012,Disability Accomodation Fund,PRO,,"$8,000.00"
376,2012,Educational Enhancement Fund,PRO,,"$3,000.00"
377,2012,Executive Officer Leadership Institute,PRO,,"$6,000.00"
378,2012,Greek Opportunity Fund,PRO,,"$8,000.00"
379,2012,Health and Wellness Initiative,PRO,,"$14,000.00"
380,2012,Innovative Design,PRO,,"$4,000.00"
381,2012,Multicultural Fund,PRO,,"$5,000.00"
382,2012,Outstanding Student Recognition Program,PRO,,"$1,250.00"
383,2012,Perspectives,PRO,,"$1,900.00"
384,2012,Public Service Fund,PRO,,"$5,000.00"
385,2012,Spring Welcome Week,PRO,,"$2,726.77"
386,2012,Student Initiative Fund/Bears Breaking Boundaries,PRO,,"$15,000.00"
387,2012,SUPERB,PRO,,"$125,000.00"
388,2012,Undergraduate Graduate Mentorship Program,PRO,,"$1,705.00"
389,2012,Voter Registration,PRO,,"$1,030.00"
390,2012,Senate Contingency,,,"$24,000.00"
391,2012,Legal Defense Fund,,,"$16,000.00"
392,2013,Al-Bayan,PUB,13.0,"$1,784"
393,2013,Alternative Breaks Publishing Group,PUB,11.0,$909
394,2013,BARE Magazine,PUB,7.0,"$1,275"
395,2013,Berkeley Fiction Review,PUB,30.0,$960
396,2013,Berkeley Poetry Review,PUB,19.0,"$1,530"
397,2013,Berkeley Political Review,PUB,12.0,"$5,035"
398,2013,Berkeley Science Review,PUB,13.0,$0
399,2013,byte of Berkeley,PUB,1.0,$400
400,2013,Cal Literature & Arts Magazine,PUB,16.0,"$1,464"
401,2013,Caliber Magazine,PUB,4.0,"$1,734"
402,2013,California Patriot,PUB,2.0,$800
403,2013,CalTV,PUB,9.0,"$6,500"
404,2013,Clio's Scroll,PUB,14.0,"$1,122"
405,2013,Folio,PUB,2.0,$800
406,2013,hardboiled newsmagazine,PUB,17.0,"$4,738"
407,2013,Heuristic Squelch,PUB,17.0,"$8,000"
408,2013,Maganda Magazine,PUB,24.0,"$1,624"
409,2013,Onyx Express Publications,PUB,18.0,"$3,910"
410,2013,Perspective Magazine,PUB,17.0,"$2,244"
411,2013,Premed Perspective,PUB,9.0,"$1,000"
412,2013,Public Health Advocate,PUB,9.0,$320
413,2013,Sather Health,PUB,3.0,$723
414,2013,Science of Wellness,PUB,2.0,$800
415,2013,SeaChange Magazine,PUB,1.0,$400
416,2013,Smart Ass,PUB,15.0,"$3,452"
417,2013,To An Unknown God: A Journal of Christian Thought at Berkeley,PUB,5.0,"$2,857"
418,2013,"Troika: An Undergraduate Journal in Slavic, East European, and Eurasian",PUB,2.0,$800
419,2013,Univeristy of California Compartive Literature Undergraduate Journal,PUB,2.0,$374
420,2013,Vagabond Multilingual Journal,PUB,1.0,$0
421,2013,3D Modeling Club,SAG,1.0,$150
422,2013,Abba Modern,SAG,2.0,$300
423,2013,Acts2Fellowship,SAG,12.0,"$2,864"
424,2013,Adoptee University,SAG,2.0,$300
425,2013,AFX Dance,SAG,1.0,$150
426,2013,Alpha Beta Consulting,SAG,1.0,$150
427,2013,Alpha Epsilon Zeta,SAG,9.0,$819
428,2013,Alpha Kappa Psi,SAG,3.0,$450
429,2013,Alpha Phi Omega,SAG,28.0,"$1,337"
430,2013,Alpha Sigma Nu,SAG,1.0,$0
431,2013,Ambience,SAG,2.0,$0
432,2013,American Institute for Architecture Students,SAG,5.0,$428
433,2013,American Marketing Association,SAG,1.0,$150
434,2013,American Medical Student Association,SAG,15.0,$643
435,2013,American Nuclear Society,SAG,6.0,$0
436,2013,American Parliamentary Debate Association Society,SAG,2.0,$300
437,2013,Anthropology Undergraduate Association,SAG,3.0,$90
438,2013,Arab Student Union,SAG,3.0,$450
439,2013,Argentine Tango Club of Berkeley,SAG,3.0,$310
440,2013,Armenian Students' Association,SAG,31.0,"$2,797"
441,2013,Ascend,SAG,5.0,$0
442,2013,Asha for Education,SAG,9.0,$750
443,2013,Asian Pacific American Coalition,SAG,14.0,"$1,712"
444,2013,Assocation of Muslims Professional Development,SAG,7.0,$666
445,2013,Association of Psychology Undergraduates,SAG,14.0,$150
446,2013,Azaad,SAG,1.0,$0
